Week,DBJP,DFJ,DIM,DLS,DOL,DOO,DTH,DVYA,DWM,DXJ,ENZL,EPP,EWA,EWH,EWJ,EWS,EWT,EWV,EWY,EZJ,FAUS,FDT,FDTS,FHK,FJP,FKO,FPA,GWX,IDHQ,JPXN,PDN,PXF,SCJ,VPL
2014-32,0.01053347,0.01055623,0.0087803,0.00947004,0.01165448,0.00932287,0.01148252,0.01228879,0.01058773,0.01036138,0.01460298,0.01616458,0.02459016,0.00260688,0.01021314,0.00375783,0.00782361,-0.01292198,0.01457286,0.01869501,0.02401501,0.012309,0.00824499,-0.00875954,0.00175131,0.04107486,0.0131291,0.01081471,0.00989555,0.0044586,0.01156515,0.00973428,0.0104368,0.0127924
2014-31,-0.02602603,-0.01552732,-0.02035048,-0.01406673,-0.01845185,-0.01863955,-0.01878758,-0.01512206,-0.01680494,-0.02431159,-0.0063082,-0.01785714,-0.01892148,-0.01194805,-0.02256298,-0.01575456,-0.0151729,0.04495687,-0.02202136,-0.04445235,-0.0133284,-0.02703265,-0.01812336,-0.01993166,-0.02320035,0.0144081,-0.0072648,-0.01362984,-0.02059621,-0.02405355,-0.01570881,-0.02548919,-0.01690357,-0.01890189
2014-30,-0.0109127,-0.02514354,-0.02162262,-0.0207043,-0.02446551,-0.02902997,-0.02575423,-0.01912452,-0.02582795,-0.00935961,-0.02773723,-0.01030681,-0.01955307,0.01053186,-0.01725253,-0.00411353,-0.02463567,0.03432377,0.00695134,-0.02970639,-0.02736766,-0.0222449,-0.02591116,0.00861574,-0.01831107,0.00156006,0.0003659,-0.02730137,-0.01072386,-0.01559934,-0.02217212,-0.02674067,-0.02380053,-0.0133547
2014-29,0.00603217,0.00842359,0.00613611,0.00551994,0.00398936,0.00594248,0.00667326,0.0088248,0.00587372,0.00901126,0.00029121,0.01265515,0.00895804,0.02162162,0.00260926,0.00875,0.0,-0.00704816,0.00828122,0.00632244,0.01019665,0.01011352,0.00834292,0.00813953,0.00790687,0.00277778,0.00667656,0.00706464,0.00806452,0.00643421,0.00644917,0.00763359,0.00613732,0.00667509
2014-28,0.00134138,0.00200562,-0.00073937,-0.00212691,-0.00176445,0.00309598,0.00073983,-0.00170831,-0.0006267,-0.00049925,-0.01552616,0.00267835,0.00235294,0.00271739,0.00326655,0.00968829,-0.02362205,-0.00701989,0.00629466,0.00739437,0.00809717,0.00185376,-0.00802522,0.01624815,-0.0013155,-0.01020809,0.00334946,-0.002106,0.00374332,0.00020665,-0.00340136,0.00025355,0.00095749,0.00415688
2014-27,-0.01867912,-0.01220732,-0.01848801,-0.01475237,-0.01551573,-0.01765952,-0.01539213,-0.00085763,-0.01470588,-0.01616915,-0.01054431,-0.0009768,0.00047281,-0.00914962,-0.01240479,0.00423908,0.00069013,0.01883961,-0.01880772,-0.02563202,0.01043608,-0.01928934,-0.00912461,-0.02082731,-0.00572435,-0.01395349,-0.00666914,-0.01526718,-0.01691332,-0.01119171,-0.01386287,-0.01804511,-0.00824703,-0.00776874
2014-26,0.0181757,0.00622115,0.00992465,0.01399717,0.01294711,0.01324817,0.01203044,0.01536797,0.01269511,0.01830951,0.00804136,0.01588089,0.01585014,0.02029622,0.0118007,0.01029601,0.02776789,-0.02087821,0.01431217,0.02123142,0.00562219,0.01446618,0.01406429,0.01862252,0.00926334,0.01195526,0.01694277,0.01399091,0.01325557,0.01268983,0.01241535,0.01179423,0.00730067,0.01273422
2014-25,-0.00604433,-0.00101812,0.0,0.00017771,-0.00719268,-0.00610615,-0.00463189,0.00779727,-0.00372671,-0.00873908,0.01248911,0.00942694,0.00381316,0.02810568,-0.00219106,0.0064433,0.01489826,0.00311526,0.01644117,0.00035663,0.00414001,0.00245399,-0.0017192,0.01136704,-0.00951117,0.01574803,0.00720516,-0.00035261,0.0,-0.0025,0.0,-0.0045045,-0.00156037,0.00310389
2014-24,0.0343879,0.02784126,0.00722356,0.00858216,0.00723367,0.00782547,0.0076055,0.01224044,0.00812162,0.03401535,-0.00288434,-0.00049702,0.00529865,-0.00332226,0.03045231,-0.00852515,0.00915416,-0.06004076,-0.01207072,0.06599553,0.00720243,0.013185,0.01717613,0.0023988,0.03485988,-0.00314589,-0.0026475,0.01464809,0.01074114,0.03240247,0.01033691,0.01114771,0.02897103,0.01684873
2014-23,-0.00273879,0.00584795,-0.0115448,-0.01250881,-0.00523332,-0.00518501,-0.00537109,-0.00673328,-0.00600663,0.00102433,0.01437372,-0.00861645,-0.01000953,-0.0016538,0.00246914,-0.01093816,-0.00073233,-0.00670618,-0.01526333,0.00671391,-0.00340008,-0.01377913,-0.00839849,-0.0097981,0.00477816,-0.00118577,-0.00301318,-0.00249465,-0.0010661,0.00684638,-0.008,-0.00730111,0.00544465,-0.00258446
