Week,CEW,CNY,CROC,CYB,DBV,DRR,EUFX,EUO,FXA,FXB,FXC,FXCH,FXE,FXF,FXS,FXY,INR,UDN,ULE,URR,UUP,YCL,YCS
2018-27,-0.00163577,0.0,0.00559664,-0.01042471,0.00502092,0.03488372,0.00921435,0.01153505,-0.00621538,-0.00132203,-0.00307775,0.0,-0.00559105,-0.01036379,-0.02060808,-0.01366215,0.0,-0.0069735,-0.01230769,0.0,0.00651201,-0.02877448,0.02754784
2018-26,0.01103753,-0.00504275,-0.02475634,0.00625489,-0.00209293,-0.02824859,0.00264869,-0.01955671,0.01334985,0.01059655,0.00700337,-0.02776676,0.01085494,0.0041353,0.03263047,0.00405327,0.0,0.01032864,0.02197112,0.04240283,-0.00927793,0.00571726,-0.00719424
2018-25,-0.0043692,0.01127321,0.01567149,-0.01265823,0.00333611,0.00797267,0.00217181,0.00529334,-0.00081777,-0.00589879,0.0116721,0.0,-0.00195939,-0.00305135,-0.01357805,-0.00814407,0.0,-0.0027959,-0.00557276,0.0,0.00284553,-0.01502871,0.01717452
2018-24,-0.00163043,-0.00440141,0.01135684,-0.00978179,-0.00496894,-0.05894962,0.00167665,-0.00566202,0.00258468,0.00132275,-0.00619362,-0.00026438,0.00358744,0.00348763,-0.00634624,0.00531116,0.0,0.00280899,0.00627353,-0.0147929,-0.00242915,0.01100602,-0.01066448
2018-23,-0.00969828,-0.0059068,0.03685197,-0.00261976,0.00457571,0.07118255,0.01459499,0.03001792,-0.02149967,-0.00808252,-0.01484427,-0.00365726,-0.01458628,-0.01196599,-0.00385003,-0.00494196,0.0,-0.012939,-0.03395998,-0.03262736,0.01229508,-0.00819113,0.0106383
2018-22,-0.00160514,-0.00413943,0.01564813,0.00112402,-0.00944559,-0.00286205,-0.00434888,-0.00972591,-0.00673534,0.00719759,-0.00026399,0.0,0.00587711,0.00263103,0.00602521,0.00378614,-0.0037037,0.00510915,0.01047443,0.01984822,-0.00570962,-0.00879567,-0.00527558
2018-21,0.00431965,-0.00217391,-0.01631654,0.00338473,-0.00206612,-0.02614138,-0.01142857,-0.02019768,0.00875067,0.00715285,0.00451767,-0.00507746,0.01011104,0.00253271,0.01173243,-0.00862362,-0.01050574,0.00750469,0.02216593,-0.03349541,-0.00647773,-0.01885232,0.01818957
2018-20,0.00376344,-0.00108578,0.00894529,-0.00372856,0.00166736,0.01010101,0.00899587,0.02154399,-0.00439824,-0.0083621,-0.01358589,0.0,-0.01068905,0.00615973,-0.00589102,0.01425922,0.04386636,-0.00739372,-0.02179177,0.0,0.00738916,0.03064935,-0.02747178
2018-19,-0.01588142,-0.039375,0.00760691,-0.00185805,0.00334868,0.01960784,0.01580247,0.03090406,-0.00214823,-0.00554585,-0.00575314,0.0,-0.01421594,0.00234292,-0.01404597,-0.00950418,-0.02892866,-0.01278539,-0.02421737,-0.00697425,0.01203819,-0.0193505,0.01995813
2018-18,0.00265675,0.02420242,-0.01077017,0.00037189,-0.01081531,-0.01610018,-0.00197433,-0.00322284,0.00484262,-0.0012915,0.00789681,0.0,0.00148394,0.00213538,0.02762483,-0.00227661,-0.00494927,0.00228728,0.0035482,-0.00745474,-0.00248756,-0.00334113,0.00551003
