Week,DGL,DGLD,DGP,DGZ,DZZ,GLD,GLL,IAU,SGOL,UBG,UGL,UGLD
2017-49,-0.02305187,0.0697074,-0.05258799,0.02805755,0.04278075,-0.0222809,0.04453385,-0.02281989,-0.0223301,-0.00341933,-0.04400102,-0.06673022
2017-48,-0.01061466,0.03324349,-0.02147488,0.01025641,0.02573529,-0.01009525,0.02082145,-0.01125402,-0.01045407,-0.01008866,-0.02113376,-0.03366697
2017-47,0.00624688,-0.02523183,0.00534979,-0.00360231,-0.01612903,0.00832578,-0.01518317,0.00814332,0.00848691,0.00153092,0.0163182,0.02459792
2017-46,0.011997,-0.03815477,0.02781237,-0.01007919,-0.02513465,0.01277718,-0.02492342,0.01221498,0.008,0.0,0.02522936,0.03867925
2017-45,-0.00423834,0.01392515,-0.00902749,0.00361795,0.00900901,-0.00427456,0.00658171,-0.00406174,-0.00378849,0.00802469,-0.00835232,-0.01401869
2017-44,-0.00401103,0.01394251,-0.01893004,0.00215517,0.01252236,-0.00421035,0.01028349,-0.0040783,-0.00372319,0.01060512,-0.00943156,-0.01323251
2017-43,-0.00771912,0.02266289,-0.0135468,-0.00071788,0.01077199,-0.00738916,0.01614942,-0.0081103,-0.00804376,0.0,-0.01588903,-0.02230483
2017-42,-0.01207491,0.03432032,-0.05654531,0.01018182,0.02022059,-0.01105961,0.02271429,-0.01204819,-0.01108011,0.0,-0.02225519,-0.03423423
2017-41,0.01540755,-0.04297303,0.03584374,-0.01300578,-0.03085299,0.01425295,-0.0284507,0.01538462,0.0146988,0.0,0.02907997,0.04227941
2017-40,0.00276174,-0.00763683,0.02542025,-0.00786276,-0.0035524,0.00264966,-0.00592368,0.002457,0.00292326,-0.03433735,0.00460594,0.00759013
2017-39,-0.02336335,0.07297234,-0.07374631,0.02583026,0.0433145,-0.02368907,0.04819807,-0.02301587,-0.02377578,0.0,-0.0483057,-0.07000864
2017-38,-0.00854075,0.02514998,0.00714017,0.01033973,0.01688555,-0.00900611,0.01661565,-0.00795545,-0.00906654,0.0,-0.01977333,-0.02775369
2017-37,-0.00528338,0.01713734,-0.0245576,0.00751315,0.00773694,-0.00523021,0.01020255,-0.00470219,-0.00512781,0.0,-0.01030204,-0.01657001
2017-36,0.00380499,-0.01169736,0.01462317,-0.00530705,-0.01185771,0.00400126,-0.00720196,0.00465477,0.00554614,0.01546238,0.00710032,0.01121795
2017-35,0.00947982,-0.03236321,0.0200157,-0.01038576,-0.01890359,0.01098725,-0.02270397,0.01190476,0.01635606,0.01295181,0.01960784,0.03336185
2017-34,0.0,0.00155452,0.0,0.0,0.00182815,-0.00016292,0.00028361,0.0008058,0.00232484,0.00399018,-0.00147893,-0.00179051
2017-33,0.00223825,-0.01106771,0.00904233,-0.0057971,-0.00720721,0.0031168,-0.00796089,0.00405844,0.00362086,0.00773276,0.00649351,0.01005484
2017-32,0.02560852,-0.07907642,0.05234043,-0.02203269,-0.05372617,0.0274454,-0.05261745,0.02561983,0.02723544,0.00403727,0.056349,0.08228461
2017-31,-0.01004268,0.0282343,-0.01880485,0.00500715,0.01943463,-0.00910973,0.01851344,-0.00900164,-0.00893075,0.02060222,-0.01856562,-0.02816901
2017-30,0.0106626,-0.03256666,0.02267865,-0.01205674,-0.0224525,0.01156651,-0.0236821,0.01076159,0.01142434,0.0,0.02263856,0.03103783
2017-29,0.01575413,-0.04773869,0.03405573,-0.01675978,-0.03010033,0.01679598,-0.03336782,0.01686341,0.01680321,0.00766528,0.032831,0.05005107
2017-28,0.01101206,-0.03298323,0.02374429,-0.00827016,-0.02423263,0.01125834,-0.0228013,0.01199657,0.01163383,-0.01478918,0.02164262,0.03533191
2017-27,-0.00964546,0.01961883,-0.01577998,0.01244813,0.0147541,-0.00697735,0.01163232,-0.00682012,-0.00625264,0.0,-0.01319044,-0.02002107
2017-26,-0.00255689,0.00851991,-0.00476397,0.00070373,0.00681431,-0.00287259,0.00447192,-0.00167224,-0.00248488,0.0,-0.00527983,-0.00890208
2017-25,0.00893997,-0.02562066,0.01728608,-0.00985915,-0.01706485,0.00844381,-0.01725955,0.00834725,0.00860998,-0.01548947,0.01710977,0.02564103
2017-24,-0.00804424,0.02541137,-0.02085071,0.01005025,0.01584507,-0.00847458,0.01932762,-0.00821693,-0.00928339,0.0,-0.01784804,-0.0272045
2017-23,-0.00894855,0.02842989,-0.01919935,0.01017442,0.01801802,-0.00977573,0.01972222,-0.00893582,-0.00982287,0.0,-0.02040816,-0.03074141
2017-22,0.01181201,-0.03640877,0.02388935,-0.01004304,-0.00878735,0.01223572,-0.0227365,0.01235585,0.01216128,0.0,0.02296504,0.03571429
2017-21,0.00579929,-0.01625514,0.0108969,-0.00500715,-0.02409639,0.00533778,-0.01117544,0.00577558,0.00547788,-0.00281338,0.00895599,0.01605288
2017-20,0.02012903,-0.05721393,0.03971756,-0.01888112,-0.01845638,0.01929315,-0.03917791,0.01940928,0.01924847,0.00282132,0.03643182,0.05763397
2017-19,0.0,-0.00208452,0.00222025,-0.0013947,-0.00827815,0.00068522,-0.00102106,0.00084746,0.00033585,0.0,0.00161812,0.00102041
2017-18,-0.02321474,0.06888119,-0.04510961,0.01851852,0.04,-0.02222779,0.04455446,-0.02233251,-0.02196361,-0.00715842,-0.04395887,-0.06616257
2017-17,-0.00670807,0.0183408,-0.01226994,0.00507246,0.00891266,-0.00584458,0.01186207,-0.00650936,-0.00653542,0.0,-0.0124533,-0.01983769
2017-16,0.00049419,-0.00455038,0.00161878,-0.00145985,0.07650273,0.00057264,-0.0013947,0.00161943,0.00136448,-0.00700792,-0.00171779,0.00265487
2017-15,0.0270612,-0.07695415,0.05336722,-0.02987198,-0.05226481,0.02628495,-0.05125133,0.02649007,0.02618618,0.0,0.05296992,0.08341232
2017-14,0.00177126,-0.0038214,0.00211775,0.0,-0.00347222,0.00092166,-0.00291816,0.0008285,0.00098627,-0.005,0.00206079,0.00189573
2017-13,-0.00581102,0.02106116,-0.01222597,0.00285307,0.01573427,-0.00677654,0.01078275,-0.0057947,-0.00648179,0.0,-0.01359672,-0.02259887
2017-12,0.01077199,-0.03218347,0.02265795,-0.01124385,-0.01861252,0.01148838,-0.02201906,0.01179444,0.01067556,-0.0075,0.02038655,0.03162055
2017-11,0.01892744,-0.06184281,0.04172398,-0.01986301,-0.0355412,0.01960955,-0.04096857,0.01984469,0.0206873,0.0,0.03438713,0.05738576
2017-10,-0.01755745,0.05551374,-0.03669319,0.0153417,0.02995008,-0.01713502,0.03517652,-0.01779661,-0.01788263,0.0,-0.03464017,-0.05533199
2017-09,-0.01366743,0.03997601,-0.02840187,0.01424501,0.02604167,-0.01351578,0.02743339,-0.01328904,-0.01365581,0.0,-0.02777064,-0.04253308
2017-08,0.0161373,-0.04973973,0.03250975,-0.02105263,-0.03389831,0.01656051,-0.03281853,0.01596639,0.01640436,0.01465435,0.02923361,0.05088063
2017-07,0.008,-0.02479339,0.01587302,-0.00906555,-0.015,0.00753425,-0.01645153,0.00677392,0.00772395,0.0,0.01579229,0.02302302
2017-06,-0.00153492,0.00269127,-0.00389779,-0.00280308,0.00169205,-0.00084962,0.00282595,-0.00084034,-0.00141702,0.02985564,-0.00158186,-0.00391007
2017-05,0.0182588,-0.05647551,0.03693444,-0.02104549,-0.03955696,0.01895236,-0.04057136,0.01909722,0.01866988,0.0,0.03869882,0.05698925
2017-04,-0.02003643,0.06311745,-0.03801431,0.02633403,0.04761905,-0.01986355,0.04187833,-0.02051282,-0.01973406,-0.0248067,-0.04016282,-0.06230848
2017-03,-0.00598335,0.02012809,-0.01161752,0.00691563,0.01644737,-0.00690548,0.01163798,-0.00768574,-0.00660401,0.0,-0.01409214,-0.0224261
2017-02,0.01391118,-0.03954232,0.02779086,-0.00874832,-0.02932099,0.01366823,-0.02952848,0.01493849,0.01340529,0.05442646,0.02657902,0.04097453
2017-01,0.0119891,-0.03408911,0.0235525,-0.01184211,-0.0280236,0.01158686,-0.02411395,0.0125448,0.01225468,0.0,0.02438299,0.03399766
2016-52,0.00885691,-0.03047133,0.0213198,-0.00775695,-0.01719198,0.00967207,-0.01938698,0.01002735,0.00948424,0.00276339,0.02059637,0.03082614
2016-51,-0.00526024,0.01879417,-0.01622718,0.0,0.01291248,-0.00607791,0.01157633,-0.00638104,-0.00632168,-0.00620262,-0.01411043,-0.02088452
2016-50,-0.02227656,0.07176882,-0.05196697,0.02103879,0.04769001,-0.02499549,0.04715392,-0.02502234,-0.02513942,-0.04287599,-0.05176471,-0.07603687
2016-49,-0.0105178,0.03123988,-0.01964542,0.01260783,0.01963746,-0.01022055,0.0202572,-0.00888099,-0.00932852,0.0,-0.01890634,-0.02824859
2016-48,-0.01427061,0.04408233,-0.03487838,0.01487492,0.0234375,-0.01458699,0.03252513,-0.01565217,-0.01456771,0.00297717,-0.02982994,-0.04661017
2016-47,-0.02421244,0.0781362,-0.05256125,0.02472527,0.04326923,-0.02569649,0.0516129,-0.0265411,-0.02545393,-0.04123057,-0.05209177,-0.07785642
2016-46,-0.00570244,0.02456332,-0.01544572,0.01103448,0.01290323,-0.00826802,0.01571902,-0.00852515,-0.00852321,-0.02080745,-0.01814785,-0.0249004
2016-45,-0.0468252,0.13167859,-0.08755943,0.04565217,0.08896797,-0.04134261,0.08723923,-0.04132901,-0.04181045,-0.03794443,-0.08359431,-0.12829227
2016-44,0.02091021,-0.06007509,0.04133545,-0.02380952,-0.04262877,0.02009185,-0.04040948,0.01948052,0.02042786,0.02542892,0.0413743,0.06138107
2016-43,0.00871731,-0.02637407,0.02118126,-0.01212553,-0.01736111,0.00846052,-0.01842833,0.0090312,0.00788426,0.00740741,0.02443841,0.02733686
2016-42,0.00801001,-0.02834088,0.01647446,-0.00994318,-0.01546392,0.00960896,-0.01983664,0.00992556,0.00950197,0.00746269,0.01930308,0.02790279
2016-41,-0.00648379,0.02175649,-0.01674837,0.00356125,0.01038062,-0.00665779,0.01071895,-0.00658979,-0.00652742,0.0,-0.01317097,-0.01955556
2016-40,-0.0458891,0.13797753,-0.08848894,0.04367135,0.0858209,-0.04452601,0.09156627,-0.04423381,-0.04443054,-0.05486726,-0.08721461,-0.13016368
2016-39,-0.01688555,0.04603702,-0.02962428,0.01055807,0.03106796,-0.01497452,0.0296318,-0.01475155,-0.01437908,0.0,-0.03040317,-0.04565538
2016-38,0.01697752,-0.05657836,0.03669038,-0.01187825,-0.03925234,0.0185924,-0.03470747,0.01976285,0.01862722,0.02343518,0.0380757,0.05672106
2016-37,-0.01136095,0.03893395,-0.02974247,0.02397004,0.02671756,-0.01208626,0.02748843,-0.01095462,-0.01246516,0.01378897,-0.02587553,-0.03686983
2016-36,-0.0174297,0.04816346,-0.03225806,0.01369863,0.03359684,-0.01522803,0.02912621,-0.01537279,-0.01485262,0.0,-0.03209823,-0.04714286
2016-35,0.00094899,-0.00890411,-0.00648415,-0.0080292,-0.00566038,0.00213777,-0.00373134,0.0015674,0.00201926,-0.01773963,0.00268998,0.00681302
2016-34,-0.01731804,0.04113475,-0.01303735,0.00738007,0.02906977,-0.01353889,0.02552442,-0.01394268,-0.01160378,0.0,-0.02455064,-0.04157549
2016-33,0.00046773,-0.00189888,-0.01442308,-0.01554404,0.0,0.0010169,-0.00088261,0.00154919,0.0001533,0.01539802,0.00262009,0.00072569
2016-32,-0.00187091,0.00164551,0.01229796,0.03305785,0.0038835,-0.00031387,-0.00014596,-0.0015528,-0.00030762,-0.01767389,-0.00153576,-0.00073206
2016-31,-0.01612903,0.03491211,-0.00614544,0.00989346,0.0259481,-0.0129237,0.02413431,-0.01226054,-0.0125958,0.00573394,-0.02581609,-0.04192872
2016-30,0.02623493,-0.07982063,0.04900901,-0.02674591,-0.05263158,0.02797481,-0.05993513,0.02681388,0.02868532,0.0,0.05746606,0.08530084
