Week,EMIF,FXU,GII,IDU,IGF,INXX,JXI,PSCU,PUI,RYU,SDP,UPW,VPU,XLU
2017-51,-0.02091136,-0.04220532,-0.01289283,-0.03338633,-0.02509523,0.01255783,-0.02506623,-0.02685325,-0.02841727,-0.03246677,0.06714226,-0.06514658,-0.03354425,-0.03601533
2017-50,0.00537295,-0.01310371,-0.00402414,-0.01307624,-0.00447227,0.00200133,-0.01561562,-0.01021925,-0.01958042,-0.0066179,0.02787611,-0.0086444,-0.01338189,-0.01197829
2017-49,-0.01371999,-0.00824279,-0.00521879,-0.00428994,-0.00178891,0.02469136,-0.00160192,-0.02312033,-0.00731962,-0.00731792,0.01496479,-0.01361073,-0.0038155,-0.00393848
2017-48,-0.00313283,0.00829563,0.0085003,0.00555227,0.01127904,-0.02990033,0.00762899,0.01493638,0.00733753,0.01027197,-0.00832238,0.01128844,0.00653539,0.00524934
2017-47,0.01293375,0.00341426,0.01644399,0.00365863,0.01879441,0.01486486,0.00749747,0.0105382,0.0,0.00199788,-0.00861326,0.00533491,0.00325203,0.00434865
2017-46,-0.00313775,-0.00075557,-0.00429887,-0.00422473,-0.00704545,0.0047749,-0.00862069,0.02076125,0.00422535,-0.00385154,0.00832603,-0.01125558,-0.00391023,-0.00636823
2017-45,-0.02401216,-0.00379363,-0.00182964,0.00838875,-0.00135655,-0.02801303,0.00403307,-0.00210849,0.00177936,0.00520895,-0.01175976,0.01533185,0.0071849,0.00918133
2017-44,-0.00547778,-0.0026475,0.0030656,0.00211321,0.0018186,0.00328299,0.0,-0.02700169,0.00500179,0.00320323,-0.00379587,0.0129476,0.0019891,0.00267482
2017-43,0.00453309,0.0,-0.00429009,0.00348195,-0.00544588,0.02358491,-0.00323037,0.01729974,0.00428878,-0.00530973,-0.00708924,0.00773301,0.00338336,0.00287466
2017-42,-0.00239593,0.00490751,0.00428047,0.01560698,0.00181036,-0.00338983,0.00979792,0.0086858,0.01563068,0.00953743,-0.02836305,0.02683438,0.01505945,0.01538162
2017-41,0.01488909,0.00415565,0.01647107,0.0117236,0.01559275,0.04273504,0.01675284,0.00376081,0.00728863,0.01082121,-0.0206924,0.02240239,0.01227649,0.01219272
2017-40,0.00607533,0.00341556,-0.00308769,0.00460865,-0.00251947,0.02474527,-0.00310752,0.01723148,0.00110011,0.00581818,-0.00394789,0.00863185,0.00474315,0.00554346
2017-39,0.00121581,-0.01575985,-0.00511038,-0.01146043,-0.00680735,0.0147167,-0.01166598,-0.00058038,-0.01563636,-0.01520776,0.023126,-0.01377994,-0.0115371,-0.01233843
2017-38,-0.00686362,-0.01198502,-0.00848999,-0.01718187,-0.01010782,-0.04846416,-0.01418152,-0.00233599,-0.01763859,-0.01064339,0.02705977,-0.03083976,-0.01750682,-0.01766647
2017-37,0.00717918,-0.0073692,-0.01253731,-0.0129071,-0.01173865,0.00206044,-0.01742229,-0.00232739,-0.01195499,-0.01054482,0.02378929,-0.02346391,-0.01197347,-0.01196127
2017-36,0.01809261,-0.00074102,0.00888889,0.00762777,0.00923423,0.01489362,0.01312336,-0.01561905,0.00392577,0.00189237,-0.01602301,0.01686202,0.0070922,0.0075246
2017-35,0.02248922,-0.00625,0.00688398,-0.00705722,0.00631484,0.0177683,-0.01938675,0.01404116,-0.00498221,-0.00704391,0.01578073,-0.01117432,-0.00645105,-0.00786797
2017-34,0.01493931,0.01269604,0.01556739,0.00897308,0.01322691,0.01158581,0.00679185,0.01642229,0.01190047,0.00745827,-0.02384802,0.01825347,0.00889398,0.00813953
2017-33,0.00589879,-0.00223964,0.00494336,0.00743898,0.0038964,0.01675164,0.00888889,-0.01335398,0.0007249,0.00178486,-0.01157223,0.00842283,0.00649177,0.00823691
2017-32,-0.02625954,-0.01078869,-0.01668362,-0.00264303,-0.01697985,-0.05337079,-0.00566802,-0.00445391,-0.00291015,-0.00512698,0.01030928,0.00276772,-0.00454424,-0.00373354
2017-31,0.00060957,0.00487622,0.00573301,0.01084906,0.00845135,0.01792115,0.0131309,0.0317492,0.01032448,0.00444925,-0.0229797,0.00892663,0.00865177,0.0103565
2017-30,-0.01025332,0.00797267,-0.00226198,0.00411881,-0.00091827,0.01090116,0.00206654,-0.00159046,-0.00110865,0.00485496,-0.01330798,-0.00504054,0.00481906,0.00481928
2017-29,0.01437309,0.01880276,0.01838696,0.02411963,0.01674029,-0.00725689,0.01628392,0.04355866,0.02986767,0.01964175,-0.0329142,0.05288352,0.02372162,0.02154034
2017-28,0.04115226,0.00736434,0.02214651,0.0104311,0.02256532,0.01920236,0.0142311,-0.0061589,0.00687548,0.0199621,-0.01666667,0.01387604,0.00907136,0.00906469
2017-27,-0.00031959,-0.01068702,-0.00783732,-0.00396697,-0.00401606,0.01374046,-0.00443975,-0.01287986,-0.00492051,-0.00787008,0.00729395,-0.00760544,-0.00334697,-0.00450912
2017-26,0.00579524,-0.02455357,-0.00943792,-0.03003285,-0.00816422,-0.00154321,-0.02922542,-0.00560336,-0.025,-0.03079338,0.05622804,-0.07177849,-0.02857913,-0.03007519
2017-25,-0.00161603,-0.01509017,-0.00563674,-0.01399036,-0.01112914,-0.01526718,-0.01200407,-0.01211038,-0.01313389,-0.01536061,0.01810311,-0.0158663,-0.01392608,-0.01317083
2017-24,0.00752864,0.01373932,0.01500423,0.01860318,0.01339286,-0.00230061,0.01817056,0.00098155,0.0210643,0.01259995,-0.02850539,0.02492955,0.01792017,0.0181528
2017-23,-0.00292018,-0.00812408,-0.00773897,-0.00562852,-0.00650558,-0.00832073,-0.00225041,0.01277955,-0.00331126,-0.00470503,0.01519283,-0.00916844,-0.00503371,-0.00809797
2017-22,0.00918033,0.01532138,0.01641091,0.01419894,0.01916706,0.01298701,0.01406994,0.03188228,0.0167162,0.01536585,-0.03089245,0.01997828,0.01470188,0.01316577
2017-21,0.02000667,0.00944822,0.00213858,0.01672967,0.00666032,-0.00902256,0.0117573,0.0151641,0.01973435,0.01406697,-0.03610906,0.04091429,0.01702443,0.01647681
2017-20,-0.03014753,0.00882917,0.00673767,0.00235849,0.00602265,-0.02883922,0.01304255,-0.01240695,-0.00191058,-0.00075358,-0.00359712,0.00396178,0.00140239,0.00246863
2017-19,0.02209034,-0.00308048,-0.00369967,0.00016327,-0.00145138,0.02763256,0.0010755,-0.01189256,-0.00229183,-0.00352157,0.00250627,0.00395625,0.00018785,0.00041331
2017-18,-0.00652742,-0.01374046,0.01697531,0.00656976,0.01689934,-0.00298507,0.01701942,-0.01031136,0.00229008,-0.00113336,-0.00355745,-0.01017751,0.00585292,0.00665419
2017-17,-0.00228908,-0.00302916,-0.00570801,-0.00560565,-0.00073386,0.00827068,-0.01056034,-0.0046,-0.00378358,-0.00522258,0.00970176,-0.01273738,-0.00532561,-0.00575421
2017-16,-0.02347267,-0.00680272,-0.01170753,-0.00422558,-0.01131055,-0.00537634,-0.01102226,0.00261359,-0.00528901,-0.00657731,0.00286841,-0.00069654,-0.00467202,-0.00349938
2017-15,0.0016276,-0.0003811,0.00044504,0.00286744,0.0027248,-0.01595745,0.00261438,-0.00121926,0.00152381,0.00413275,-0.0042735,0.00116986,0.00282619,0.00373599
