Week,ACWI,ACWV,ACWX,CGW,CWI,DBEF,DIM,DLS,DOL,DTH,DWM,DWX,EFA,EFAV,EFG,EFV,EWS,EZU,FDT,FGD,GDX,GDXJ,GII,GNR,GUNR,GWX,IDLV,IDV,IEFA,IGF,IOO,IXC,IXG,IXJ,IXP,IXUS,JXI,KXI,LIT,MOO,MXI,NUGT,PDN,PICK,PID,PPH,PSP,PXF,RXI,SCHC,SCHF,SCZ,SDIV,SIL,SMH,SPDW,TAN,TLTD,URA,URTH,VEA,VEU,VSS,VT,VXUS,WOOD
2017-37,0.00392275,-0.00252366,0.00107319,0.0009113,0.0,-0.00136846,-0.0017263,0.00328665,0.00085488,0.0002439,0.00174622,-0.00464157,0.00030623,-0.00752533,-0.00263539,0.00157233,-0.00951969,0.00313858,0.00174734,0.00083682,-0.01773927,-0.01790711,-0.01253731,0.00023375,-0.00233879,0.00311624,-0.00629525,-0.00063391,-0.00032728,-0.01173865,0.0035461,0.01788036,0.00902498,-0.0028975,0.00591292,0.00171086,-0.01732529,-0.00419664,0.05241461,0.01145516,-0.00440459,-0.04203425,-0.00094607,-0.0313828,0.0019698,-0.00658597,0.01604278,0.00119503,0.00433599,0.00177778,0.00063532,0.00271324,0.0,-0.02438316,0.02179963,0.0,0.02249297,-0.00094458,0.01258327,0.00309521,0.00072798,0.00118977,0.00273224,0.00221304,0.00075572,0.00249844
2017-36,0.00736196,0.00843666,0.01338894,0.01617922,0.01200686,0.00523926,0.01279591,0.01556137,0.01331587,0.01194922,0.01486915,0.01234892,0.01456083,0.01440329,0.01685772,0.01284109,0.00173385,0.01913519,0.0141248,0.01150895,-0.00280224,-0.01182478,0.00888889,0.00927026,0.00948188,0.0145708,0.0137468,0.01360544,0.01437646,0.00923423,0.0062515,0.01160477,0.00163908,0.01971359,-0.00856225,0.01293028,0.01330157,0.00890688,0.02078086,0.01353824,0.00703887,-0.01011527,0.01511254,0.00330251,0.01006036,0.03367003,0.00362319,0.01269221,0.00193306,0.01570048,0.01428571,0.01782007,0.00796601,-0.00790291,-0.00352941,0.01253046,0.00093941,0.01282462,0.00074405,0.00667002,0.01538843,0.01377355,0.01307978,0.00644678,0.01371716,0.0152635
2017-35,0.01076923,0.00473025,0.00613228,0.00718301,0.00599315,0.00973913,0.00366242,0.01020259,0.00348584,0.00397812,0.00217348,0.0055205,0.00358982,0.00249121,0.00661001,0.00179533,0.00517688,-0.0014782,0.00589286,0.00211775,0.02130326,0.02880776,0.00688398,0.01882694,0.021049,0.01013942,0.00673509,0.00032165,0.00433839,0.00631484,0.00914121,0.01147099,0.00273884,0.02059713,-0.00596177,0.00557686,-0.00257171,0.00650539,0.03262956,0.01960784,0.01010749,0.06510139,0.00900322,0.02916527,0.01690331,0.01203234,0.00448833,0.00438063,0.01057061,0.01183971,0.00421121,0.00605327,0.00476948,0.00288934,0.02953839,0.00590893,0.02198853,-0.00381376,0.04361132,0.01010867,0.00470413,0.00565771,0.01366401,0.01129518,0.00578481,0.0205916
2017-34,0.00977805,0.00281979,0.01329787,0.00882446,0.0132948,0.00558659,0.00656736,0.00867137,0.0094381,0.00826653,0.00776428,0.00634585,0.00865869,0.00265057,0.01008037,0.00723182,0.0096238,0.01297729,0.01356239,0.01154339,0.00434783,0.00118624,0.01556739,0.01771218,0.01724745,0.00863171,0.0064433,0.0045205,0.00841468,0.01322691,0.00898931,0.01812585,0.01248581,0.00880214,0.00528448,0.0125331,0.00679185,-0.00604717,0.03395978,0.00129462,0.02130798,0.01136364,0.01073869,0.03517938,0.01782042,0.01107082,0.00451264,0.01104837,0.00380933,0.01042945,0.00947712,0.0085485,0.01344086,0.00845411,0.01226175,0.00877193,0.01649685,0.0081757,0.00306279,0.00789708,0.01025513,0.01267894,0.01097861,0.00911716,0.01229028,0.02919586
2017-33,-0.00892995,-0.00243715,-0.00199247,-0.01681196,-0.00317369,-0.004158,-0.00383509,-0.00308234,-0.00633741,-0.00696691,-0.00515055,-0.0013238,-0.00360671,-0.00206246,-0.00394075,-0.00520104,-0.01635816,-0.00372578,-0.00198699,-0.00467886,0.00443853,0.01034063,0.00494336,-0.00417076,-0.00631801,-0.00159795,-0.00032258,0.00064725,-0.00385647,0.0038964,-0.01008888,-0.01409396,-0.01136364,-0.0098803,-0.01705534,-0.00299824,0.00888889,-0.00523982,0.00431894,-0.0162172,-0.00016466,0.00850662,-0.00194805,0.00458231,-0.0047749,-0.00682335,-0.01426025,-0.00390816,-0.01770897,0.00092251,-0.00423315,-0.00191905,-0.00803859,-0.00876928,-0.01594858,-0.00384615,-0.00424729,-0.00400256,0.01155624,-0.0109558,-0.0034904,-0.00265523,0.00208907,-0.00919228,-0.00350604,-0.00049826
2017-32,-0.01844793,-0.00780251,-0.02351404,-0.01790123,-0.02357955,-0.02628884,-0.01893939,-0.01837916,-0.01790723,-0.01501723,-0.01701878,-0.01315097,-0.02269219,-0.01387672,-0.01997855,-0.02283015,-0.00858738,-0.0249694,-0.0245377,-0.02302219,0.04244637,0.04399376,-0.01668362,-0.02022634,-0.01626298,-0.01795841,-0.01089045,-0.01917546,-0.02132937,-0.01697985,-0.01785289,-0.02032787,-0.02798742,-0.01207775,-0.01776168,-0.02361521,-0.00566802,-0.0122318,-0.03766234,-0.02157109,-0.0242797,0.12248379,-0.0208,-0.03869863,-0.02087542,-0.01179996,-0.03220191,-0.02499399,-0.01782317,-0.02088378,-0.02245029,-0.01844192,-0.01702128,0.0366005,-0.02323651,-0.02237522,-0.03679853,-0.01723593,-0.04692082,-0.01994266,-0.02233677,-0.0239196,-0.02201903,-0.02026524,-0.0224482,-0.01750082
2017-31,0.00382966,0.00243746,0.00614305,0.00559354,0.00572574,0.01315334,0.00683842,0.00290909,0.00739291,0.00593765,0.00788333,0.00767602,0.00793774,0.00765043,0.00756757,0.00694031,0.00514801,0.01491054,0.00556054,0.00378629,-0.02393617,-0.0367713,0.00573301,0.0,-0.00104167,-0.00031536,0.00128041,0.00416934,0.00766539,0.00845135,0.00793269,-0.00130421,0.00920927,-0.00638018,0.00052002,0.00683252,0.0131309,0.00464834,0.04861349,0.01183109,0.00065083,-0.0828475,0.00385852,-0.00417246,-0.00468855,-0.04395018,0.00701139,0.00995146,0.00190801,0.00121322,0.00548564,0.00485605,-0.01266491,-0.05412522,-0.00180636,0.00415081,0.00900047,0.00875378,-0.02197023,0.00413534,0.00518519,0.006691,0.00177919,0.0040498,0.00637928,0.00427491
2017-30,0.00215153,0.00335441,0.00441404,-0.0052943,0.00490337,0.0017319,0.00723124,0.00646204,0.00790514,0.01002255,0.00716561,0.00399148,0.00627845,0.0026639,0.00407443,0.00823128,0.00909485,0.00953337,0.00396825,0.00636943,0.0390625,0.0359022,-0.00226198,0.02163641,0.02428571,0.00190235,0.00514469,-0.00032196,0.00655683,-0.00091827,-0.00072237,0.02208096,0.00723124,-0.01188707,0.03350654,0.00493305,0.00206654,0.00485732,-0.00239808,0.00255195,0.00659087,0.11084826,0.000323,0.03353992,0.00269906,-0.01419807,0.00530504,0.00562898,0.00781012,0.00243754,0.00422489,0.00489853,0.00424854,0.03109903,-0.00960398,0.00313261,0.00717017,0.00802182,0.01515152,0.00415512,0.00422465,0.0040783,0.00395816,0.00210463,0.00388802,-0.0069987
2017-29,0.00711414,0.01054001,0.00666371,0.00810979,0.00551204,-0.00447043,0.00434993,0.01221329,0.0043985,0.00401707,0.00579073,0.0148368,0.00535096,0.01087118,0.00763775,0.00341984,0.00962801,-0.00050025,0.00635209,0.00382979,0.01936376,0.01166002,0.01838696,-0.00222938,-0.00035651,0.01417069,0.01234969,0.00776448,0.00624473,0.01674029,0.00168878,0.0013369,0.00145208,0.01049672,0.01427797,0.00620347,0.01628392,0.00810701,0.0038115,0.00403152,-0.0042721,0.0549747,0.01243863,-0.01013025,0.01019022,0.01200565,0.00354296,0.00565249,0.0047677,0.01205937,0.00652742,0.01132343,0.00372539,0.01137044,0.01026866,0.00805604,0.03328366,0.00500727,-0.00214592,0.00531377,0.00774806,0.00676923,0.01145038,0.00620178,0.00724496,0.00718367
2017-28,0.01856514,0.01197841,0.02614825,0.02370275,0.02673797,0.00969865,0.02055245,0.02204653,0.02174888,0.02254676,0.02056189,0.02033526,0.02035583,0.01818733,0.02241403,0.01633653,0.02804161,0.02244325,0.02793296,0.01643599,0.01318888,0.01066165,0.02214651,0.02935171,0.02750275,0.02236842,0.0181638,0.02079208,0.02080825,0.02256532,0.01541096,0.02458177,0.00745543,0.01383362,0.01484604,0.02578068,0.0142311,0.01690722,0.02963227,0.01565412,0.02933198,0.03842011,0.02446381,0.04066895,0.02642559,0.01428061,0.01805054,0.0212766,0.01205192,0.02180095,0.02129784,0.02024218,0.01789588,0.02467208,0.03270626,0.02177794,0.04244306,0.02142386,0.01969697,0.01577328,0.02244898,0.02602308,0.02302439,0.01863258,0.02602082,0.02825904
2017-27,-0.00361465,-0.00601622,-0.00431524,-0.00510204,-0.00798817,-0.00449516,-0.00115169,-0.00136633,-0.00402055,-0.00357143,-0.00385396,-0.00656276,-0.00431931,-0.0078325,-0.00638268,-0.00244798,-0.00181324,0.00153767,-0.00298898,-0.00214684,-0.01273585,-0.02749141,-0.00783732,-0.01219822,-0.01421283,-0.00556465,-0.00591911,-0.00295761,-0.00428743,-0.00401606,-0.00097847,-0.02794411,0.0006503,-0.00470367,-0.01191121,-0.00489396,-0.00443975,-0.00775194,0.01091703,-0.00894021,-0.00408163,-0.05665113,-0.00534759,-0.00038402,-0.01713502,-0.01350877,-0.00450857,-0.00399501,-0.00339401,-0.00440806,-0.00299202,-0.00108421,-0.01334757,-0.03865031,0.02823199,-0.00427046,-0.0097586,-0.00262683,-0.00610221,-0.00141116,-0.00381777,-0.00544503,-0.005448,-0.00399631,-0.00558994,-0.02059459
