Week,BTAL,CHEP,CPI,HDG,MCRO,MNA,MOM,MRGR,QAI,QMN,RALS,RLY,SIZ,WTMF
2017-18,-0.00601504,0.00079145,-0.00075131,0.00459559,0.00079491,-0.00462351,-0.00397878,0.00028612,0.0,0.00158479,-0.00377358,-0.01073422,-0.00426136,-0.0012987
2017-17,-0.0045,-0.04244032,-0.00112528,0.00575506,0.00640256,0.00033014,0.02309783,-0.00623936,0.00139958,0.00079271,0.0,-0.00812313,0.0,0.00130073
2017-16,-0.0103909,0.0,0.0,0.00393154,0.00040032,0.00099272,-0.00090498,0.00829519,0.0,0.0019857,-0.00241481,-0.01103565,0.00426136,-0.00541516
2017-15,0.01811777,0.0,-0.0011274,0.00069204,-0.00040016,0.0,0.0,0.00489772,-0.00350877,0.0,-0.001606,-0.00338696,0.0,0.00233463
2017-14,-0.0040404,-0.01182304,-0.00037665,0.00184374,-0.00358852,0.00466045,0.00357302,0.00608696,-0.00454864,0.00039825,-0.0016,0.00598035,0.0,0.00417319
2017-13,-0.01895262,0.01392111,0.00378215,0.00230468,0.00159936,0.00267469,0.00537875,0.00145138,0.002106,0.00039841,0.00455154,0.0112069,0.01050119,0.01184834
2017-12,0.02302968,-0.00653344,-0.00113208,-0.00252932,0.00039952,0.00268097,-0.00976476,0.0,-0.00140351,0.00560673,0.00133833,-0.00214777,0.01043643,-0.00209589
2017-11,0.0067253,-0.01949025,0.00302916,0.01418935,0.00603865,0.00167842,0.0,-0.00720461,0.00246305,0.00160385,-0.00398301,0.01700829,-0.01494629,0.00392465
2017-10,-0.0015528,0.0,-0.00490196,-0.0023175,-0.00080613,-0.0016756,0.0044287,0.0,-0.00105374,-0.00876843,0.00159659,-0.02133106,0.00234082,-0.01744932
2017-09,0.00419287,0.0,-0.00338346,-0.00370199,-0.00281124,0.00100503,0.00580357,0.0,-0.00140007,-0.00554895,-0.00395361,-0.00337981,-0.0156682,-0.00281907
2017-08,0.01742344,0.0,0.00188395,-0.002772,0.00040128,0.00471698,0.0,0.0,0.00175254,0.00598563,-0.00052784,-0.00630782,0.0,-0.00204761
2017-07,-0.0042061,0.00869565,0.0,0.00023143,0.00161095,0.00169147,-0.00399822,-0.00430416,0.00317237,0.0,-0.00421607,-0.00335149,-0.00953246,-0.00812595
2017-06,-0.00313316,-0.00862069,0.00227273,0.00325203,-0.00080972,-0.00337041,-0.00486295,0.00028703,0.00282985,-0.00079554,0.00263435,0.00633179,0.0041021,0.00638896
2017-05,-0.01140487,-0.00559076,0.00265856,0.00489625,0.00366151,0.00746016,-0.00748239,0.0,0.00283789,0.00199601,-0.00367165,0.00338983,0.0,-0.00025549
2017-04,-0.04002052,0.0,-0.00037893,0.00584112,0.001221,0.00714529,0.01338091,0.0,0.00212766,-0.00119379,0.00131475,0.00126582,0.0,0.00382653
2017-03,-0.00462487,0.0,-0.00151688,-0.00116795,-0.00285132,-0.00067774,0.00537875,0.0,-0.00177054,-0.00119284,0.00052466,-0.00084353,0.0,0.00153022
2017-02,-0.00674974,-0.01365818,-0.00113636,0.00116768,0.004095,0.00102145,0.00358744,0.0,0.00035373,-0.00238284,0.00497904,0.00725256,0.0,0.00688424
2017-01,-0.00875386,-0.00514139,0.00418092,0.0039822,0.00287592,-0.0020429,-0.02151954,-0.00085665,0.00319829,0.00278773,-0.003885,0.01372213,-0.0013655,-0.00328283
2016-52,0.01763485,0.0,0.00038066,-0.00257611,0.00578512,-0.00034118,0.00352578,0.0,-0.00141995,0.0,0.00155723,0.00387764,0.0,-0.0024919
2016-51,-0.00616967,0.0,-0.00114155,-0.00513899,0.0,-0.00068259,0.00928793,0.00574383,0.00284799,0.0015949,0.0018196,0.00390795,-0.00767841,0.00427673
2016-50,-0.0010352,0.0,-0.0007622,0.0,-0.04907735,0.0030896,0.00220459,0.0,-0.00035676,-0.00119952,-0.00542636,-0.01495088,0.0,0.00175571
2016-49,-0.01969933,0.0,0.003443,0.01061822,0.00494641,-0.00102494,-0.00829694,-0.00286369,0.00500357,0.00119904,0.00518538,0.00820026,-0.00090703,0.01003764
2016-48,-0.01177073,0.01044386,-0.00076628,-0.00047293,-0.00205677,-0.00102845,0.00131176,-0.0048627,-0.00143062,-0.0016,0.01184211,0.01098901,-0.00181077,0.00353179
2016-47,0.00258933,0.00374392,0.00076687,0.00331048,-0.00164271,0.00447196,0.00665188,0.00114548,0.00107296,-0.00199362,-0.00471081,0.00265135,0.01797235,-0.00906116
2016-46,-0.01371254,0.02730769,0.00076834,0.00213574,-0.00613246,0.01823921,-0.01139851,0.00518135,-0.00071505,-0.00715706,0.00712777,0.0031348,0.06045831,0.00202532
2016-45,-0.06122449,0.03011094,-0.00344564,-0.00023764,-0.01291364,-0.0059151,-0.04159664,-0.01138304,-0.00531915,0.00199045,0.01554126,-0.01716549,-0.01756051,-0.01744331
2016-44,0.0018797,0.00678101,-0.00458891,-0.00855107,0.002442,-0.00383142,0.00716091,0.0,-0.00881523,0.0,0.00349181,-0.01010989,-0.02453704,-0.0047205
2016-43,0.00522317,0.01993491,-0.0049505,-0.00567376,-0.00761523,-0.00829589,0.00207469,-0.0002845,-0.00596282,-0.00158793,0.00026781,-0.01174424,0.0,-0.00835586
2016-42,-0.01221805,0.0044953,0.00191058,0.00451306,0.00645422,0.00521376,-0.00698439,-0.00028441,0.00317237,-0.00079334,0.00430223,0.01010101,0.0,-0.00292969
2016-41,0.02560386,-0.00487409,0.00038095,-0.00636642,-0.00641283,-0.00760982,0.02225955,0.0,-0.00803634,-0.0011919,-0.0008058,-0.00827526,0.0,0.00664861
2016-40,-0.00909526,0.01995842,-0.00228224,-0.00070872,0.0,-0.0065337,-0.01776126,-0.00170358,-0.00522102,-0.00435127,-0.00026846,-0.0163652,0.0,-0.00640394
2016-39,-0.02331002,0.01525424,-0.00113766,0.00331518,0.00321673,0.00552105,0.01371571,0.0,0.0,0.00237248,0.00134264,0.00823938,0.0,0.00420272
2016-38,0.01382269,-0.0042123,0.00647866,0.00783104,0.00444265,0.00276912,0.01253133,0.0034188,0.00559245,0.00316832,-0.00722505,0.01672535,0.0,0.00646766
2016-37,-0.00094697,0.00808855,0.00190913,-0.00094877,-0.00241741,-0.00481596,0.00587495,-0.00453772,-0.00313698,-0.00158667,-0.00348245,-0.02081526,0.0,-0.00149738
2016-36,-0.00841515,0.00127605,-0.00227445,-0.00658979,-0.00640512,0.002772,-0.01437372,0.0,-0.00935227,-0.00826121,0.00914716,-0.01712329,0.0,-0.00420896
2016-35,0.00423131,0.00554135,0.00075959,0.00307619,0.00080645,0.00591304,0.02346041,0.0,0.00034734,-0.00078616,0.00026867,-0.00302115,0.0,0.00426279
2016-34,-0.00512582,-0.00808167,-0.00075786,-0.00118315,0.0004029,-0.0100346,-0.00329761,0.0,-0.00208406,-0.00039324,0.00026874,-0.00985855,-0.00598251,-0.00175747
2016-33,-0.00280374,0.00042445,0.0,-0.00070939,-0.00201045,0.00672805,-0.00779967,0.0,-0.00242971,-0.00197161,0.00404422,0.001716,0.01163873,-0.0045045
2016-32,0.00788863,0.00257732,-0.0015163,0.0033199,0.0072904,0.00424478,-0.00121803,-0.00284414,0.00558464,0.00237248,0.00080928,0.00389105,0.0013986,-0.00372578
2016-31,-0.0177434,-0.00342466,-0.00037994,0.00118793,0.00121655,-0.00808152,-0.01553166,-0.00169972,-0.00486618,-0.00511408,0.00734894,0.00305011,-0.00417827,0.00373227
2016-30,-0.01935194,0.0008489,0.00228137,0.00453461,0.00488998,-0.00210305,0.00278773,0.0,0.0055788,0.00434955,-0.00723279,0.00696864,0.00795508,0.00621272
