Month,BTAL,CHEP,CPI,HDG,MCRO,MNA,MOM,MRGR,QAI,QMN,RALS,RLY,SIZ,WTMF
2014-02,-0.02261967,-0.01478393,0.01066772,0.02032218,0.02289157,0.02530211,0.03426546,-0.02228336,0.02797965,0.01495554,-0.00052329,0.05790109,0.01003861,-0.00956938
2014-01,-0.01365546,-0.0295082,0.00276789,-0.01167599,-0.00674603,0.01760429,0.00311405,0.01536313,-0.00323741,0.00687702,-0.01856089,-0.02245451,0.02081697,-0.0027666
2013-12,-0.01457574,0.00146681,-0.0019802,0.00436893,0.00595711,-0.010181,0.00824176,0.01564683,0.00903506,0.00486224,-0.00456969,0.01995305,-0.00469116,0.00703871
2013-11,-0.00153925,0.02563136,-0.00511408,0.00437424,-0.00314713,0.00647619,0.01769912,0.00675105,0.00871776,0.00487211,0.0265902,-0.00959325,0.00039002,-0.00825826
2013-10,0.00617284,0.0367331,0.00992063,0.01717791,0.01229183,0.00575595,0.01469388,-0.01578073,0.01284875,0.01059927,0.00812582,0.02419984,0.00627943,-0.00099875
2013-09,-0.028,-0.01336898,0.00238758,0.01371913,0.02444988,0.0167576,0.0359408,-0.00303616,0.01987997,0.01573499,-0.01195116,0.02687525,-0.00894594,-0.01742759
2013-08,0.00250627,-0.01586103,-0.00435299,-0.01359703,-0.0176,-0.00735864,-0.01875,-0.00027594,-0.01409496,-0.00657084,-0.01002055,-0.01312649,-0.0003888,-0.01434476
2013-07,-0.02636625,0.00151,0.01036683,0.00676692,0.00848142,0.01447008,-0.02535328,0.0171204,0.01665405,0.00705102,0.0148631,0.02240326,0.00862407,0.00816024
2013-06,0.003367,-0.00037383,-0.01724138,-0.01337627,-0.02721893,0.00669028,-0.01069079,-0.01792609,-0.02082559,-0.01636661,-0.00338895,-0.04448743,0.00634669,0.03507424
2013-05,-0.07085202,0.04903884,-0.0097012,0.0007446,-0.0151574,0.01275409,0.024,0.00359513,0.00333457,-0.01012146,0.03040904,-0.02943396,0.00158919,-0.02038787
2013-04,0.0,-0.00660964,0.00232919,0.01124157,0.00859039,-0.00796178,0.01219512,-0.00904357,0.01499813,0.01554828,-0.00374632,0.00678733,-0.00866483,-0.00025013
2013-03,-0.00739372,0.02389486,0.00467836,0.00475238,-0.00349379,0.01537217,-0.00897227,-0.00519694,0.00675929,0.00409836,0.02461707,0.00490196,0.01619913,0.00707071
2013-02,0.03441683,0.0044,-0.00194477,-0.00249252,-0.00885296,0.0077173,-0.01985413,-0.00679902,0.0,0.00123001,0.00853994,-0.03131828,-0.00039494,-0.00378024
2013-01,-0.01690935,0.01839738,-0.00077821,0.00324594,-0.01593323,0.00367197,-0.02238502,-0.03156234,0.0,0.0,0.02060982,0.00404412,0.00756369,0.01200818
