Month,ADRE,BBRC,BICK,BKF,DBEM,DEM,DGS,DVYE,EDC,EDIV,EDZ,EEB,EELV,EEM,EEMO,EEMS,EET,EEV,EMIF,EUM,EWEM,EWX,FEM,FEMS,HILO,IEMG,PIE,PXH,SCHE,SPEM,TLTE,VWO
2017-09,-0.00818488,-0.02862254,0.00925267,0.00582242,0.00268817,-0.01517707,0.00407114,-0.02054273,-0.02929143,-0.03291639,0.01816444,0.00924321,-0.02047782,-0.00757924,-0.00237812,-0.0094677,-0.01541015,0.01270379,-0.00737327,0.00636267,-0.01887942,-0.01009676,0.02556158,-0.01682335,-0.0049505,-0.00672301,0.00274273,-0.01722488,-0.01158749,-0.01124543,-0.0068978,-0.0119578
2017-08,0.0235265,0.01702128,0.01390413,0.03670886,0.01642336,0.033091,0.02702104,0.02598425,0.05304243,0.02038736,-0.0625759,0.03808948,0.01478261,0.02030217,0.03848541,0.01642178,0.03876258,-0.04082449,0.00217459,-0.01959773,0.01465544,0.02611534,0.04703476,0.07619817,0.03362573,0.01811737,0.03887936,0.03437967,0.02472089,0.02880419,0.02430815,0.02592054
2017-07,0.07490637,0.0368254,0.07266983,0.07747253,0.03751187,0.03943588,0.03735301,0.03160763,0.15702576,0.03401122,-0.14588262,0.07813011,0.03153153,0.05206776,0.07377599,0.03541807,0.10113605,-0.09806382,0.04855002,-0.05068226,0.04276853,0.03087672,0.08388521,0.05880674,0.03247734,0.05030139,0.06231095,0.05488127,0.05178947,0.05174007,0.0427116,0.04845703
2017-06,0.00946458,0.01278772,0.0,-0.00110375,0.01013025,0.00131337,0.00606485,-0.00678058,0.00130517,0.0056798,-0.00963815,0.00032723,0.00361011,0.00075226,0.04114365,0.00996602,0.00574713,-0.00617611,0.01930116,-0.00193705,-0.00681818,0.01117701,0.02092812,0.01992966,0.00380807,0.00251151,0.00856793,-0.0042328,-0.0033741,0.00216987,0.00275211,0.00128271
2017-05,0.02655857,0.03519256,0.05369128,0.0089812,0.01032956,-0.00500263,0.01018716,0.01607984,0.05560573,-0.00035702,-0.07500188,0.00361723,0.02607076,0.02249806,-0.00902778,-0.01330927,0.04087678,-0.04831794,-0.00532446,-0.02482436,0.03513514,-0.00728763,0.00505282,-0.01518692,-0.00532319,0.01849462,0.00809465,-0.00948867,0.00858738,0.01137081,0.01303389,0.00597868
2017-04,0.00367024,0.02374491,-0.00378469,0.00538549,0.01759678,0.0026476,0.00381497,-0.00332134,0.02940383,0.01086957,-0.03823459,-0.00099075,0.00799624,0.01130984,0.06671721,0.00272727,0.0267625,-0.02528626,-0.01262136,-0.01151543,0.01441318,0.01087208,-0.0176951,-0.00088731,0.01004637,0.01246992,0.01652893,0.00212202,0.00913043,0.00800256,0.00688538,0.00762556
2017-03,0.01255708,0.02454418,-0.00377042,0.00923788,0.00816327,0.01102447,0.0195122,0.00957477,0.05542658,-0.00180766,-0.0716759,-0.00693985,0.02609957,0.02079395,0.0,0.02702068,0.04183427,-0.04539326,0.04667802,-0.02238138,-0.00449361,0.01704949,0.00275989,0.02121212,0.01573564,0.02044484,0.00320307,-0.01939203,0.01108647,0.01141925,0.01824212,0.01234237
2017-02,0.01643675,0.0,0.02706242,0.02835596,0.00051894,0.01884701,0.03857033,0.04212728,0.04740764,0.01796407,-0.05423669,0.00539629,0.02498751,0.01673173,-0.00378501,0.04303735,0.03846154,-0.03549881,0.03839254,-0.0177566,0.02775775,0.03450844,0.01858913,0.05470531,0.01607717,0.01904762,0.03154362,0.01413812,0.02019275,0.02683424,0.02274678,0.02030033
2017-01,0.07432005,0.02941176,0.0555815,0.05918302,0.03269025,0.03681334,0.05585831,0.06711409,0.16274764,0.06491438,-0.14803419,0.05280057,0.03573278,0.05411765,0.0794702,0.04672897,0.11142695,-0.10066692,0.02319588,-0.05088223,0.03700935,0.05389064,0.0690184,0.07656859,0.04107293,0.05419323,0.05229682,0.05103211,0.04736588,0.04828326,0.05165383,0.04606414
2016-12,-0.00128452,0.0272934,0.00765184,-0.00647459,0.01041667,0.0232212,0.01448468,0.02073733,0.01340326,0.04156171,-0.03551896,0.01441242,0.00574413,0.00931211,-0.00494234,0.0002613,0.0086427,-0.02030274,0.01612298,-0.01082164,0.02272727,-0.00079724,0.01526316,0.02320522,0.01986183,0.00623597,-0.00212766,0.019678,0.00885827,0.00508536,0.00390266,0.00414324
