Month,ECON,FXG,IYK,KXI,PBJ,PSCC,PSL,RHS,SZK,UGE,VDC,XLP
2014-02,0.08751666,0.0897561,0.06887788,0.06583781,0.0940357,0.05644973,0.09140201,0.07124285,-0.12060426,0.13380615,0.0632107,0.0618705
2014-01,-0.07097033,-0.03251534,-0.04453393,-0.04381306,-0.0371732,-0.04295683,-0.04113235,-0.01774854,0.10696733,-0.10220769,-0.04295694,-0.03974047
2013-12,0.02714571,0.02269195,0.01800405,0.01243057,0.01061658,0.0207923,0.01210361,0.01434094,-0.02782462,0.02572614,0.01316752,0.01216216
2013-11,-0.01583012,0.01474741,0.01866121,0.0031679,0.01067762,0.01296418,0.01913171,0.00651956,-0.04724194,0.03213531,0.01337828,0.01196953
2013-10,-0.00115473,0.04453176,0.04145208,0.04713341,0.01793909,0.04152329,0.04216714,0.06056169,-0.09333994,0.10928705,0.05332294,0.05746463
2013-09,0.09635974,0.02996255,0.02537874,0.03187251,0.02406532,0.04620939,0.03247096,0.01994263,-0.03887588,0.04152418,0.0177798,0.0144415
2013-08,-0.07417691,-0.04592497,-0.04635925,-0.04761905,-0.0562753,-0.03231093,-0.05575,-0.04722366,0.0983189,-0.0896921,-0.05210356,-0.05326269
2013-07,0.0,0.06687675,0.03313916,0.03192992,0.05010799,0.06631233,0.05172414,0.03949877,-0.06665124,0.08137255,0.03820504,0.03581829
2013-06,-0.02891089,0.00035511,-0.00790565,-0.01900503,0.00703297,-0.00333162,0.0010698,0.00081878,-0.00930127,-0.01384083,-0.00991549,-0.01388487
2013-05,-0.02106084,0.01296363,0.00288034,-0.03846154,0.04373849,0.04493774,0.01518027,-0.00694161,-0.03720406,0.0034774,-0.01403076,-0.02090493
2013-04,0.03300199,0.0017934,0.03294782,0.03352892,0.01336406,0.03417861,0.03338898,0.02700445,-0.06886416,0.05669291,0.03045685,0.0297584
2013-03,-0.00276352,0.08239845,0.04172481,0.04182399,0.06780488,0.05653303,0.05684149,0.05496116,-0.10233698,0.08527572,0.04655089,0.04588851
2013-02,-0.03016241,0.03014469,0.022,0.01268437,0.03079253,0.01291459,0.02647413,0.04397793,-0.03175182,0.05857741,0.0231407,0.02469918
2013-01,-0.00078156,0.03527929,0.03418041,0.02939375,0.03577065,0.02204106,0.03336481,0.03212468,-0.09585877,0.08706953,0.03191352,0.02991453
