Month,AADR,COPX,ECON,EDC,EEM,EEMS,FAN,FLN,FM,FONE,FPA,GDXJ,HILO,ICLN,IEMG,KOL,LIT,PBD,PICK,SIL,SLVP,SLX,SOCL,SOIL,TLTE
2016-04,-0.00345011,0.23048048,0.00359712,0.0107359,0.00715397,0.00816004,0.02105263,0.05586592,0.01577564,-0.01739378,-0.00720516,0.36241108,0.01373391,-0.00825472,0.00855365,0.15430267,0.06111111,0.01371205,0.16420455,0.38309637,0.40377358,0.17094389,0.01551247,0.02300242,0.009355
2016-03,0.04232365,0.13682432,0.09068507,0.28635458,0.09100135,0.06994382,0.11004274,0.17842324,0.0111657,0.05870145,0.07203219,0.11435832,0.08667288,0.08238276,0.08658982,0.11221122,0.10579065,0.05561277,0.13218391,0.18492509,0.17378498,0.23786143,0.04618938,0.05436157,0.09135135
2016-02,-0.01009818,0.20957447,-0.0216189,-0.01302578,0.00140302,-0.00628033,-0.03534304,0.02640545,0.03281763,0.0279484,-0.00367647,0.31952663,0.02644466,-0.03875,-0.00116347,0.10436433,0.04553625,-0.00104275,0.1174743,0.26020408,0.32270169,0.11293375,-0.06568144,0.02503294,0.00870787
2016-01,-0.04301948,-0.12705667,-0.00887137,-0.0954089,-0.02374491,-0.04918919,-0.03603604,-0.03212521,-0.06910211,-0.07226448,-0.03891509,-0.03582888,0.01183432,-0.10774411,-0.02720898,-0.03804348,-0.09145346,-0.0960452,-0.10775296,-0.04338154,-0.05484461,-0.08103448,-0.05371248,-0.09845789,-0.04491413
2015-12,-0.02048755,-0.07248764,-0.07012059,-0.1435569,-0.04535433,-0.01641052,0.00899101,-0.04634721,-0.01078051,-0.04303728,-0.0050135,-0.00110072,-0.04220183,0.03686636,-0.04215763,-0.12087912,-0.00695187,0.00371747,-0.06166868,-0.063593,-0.08503401,-0.08715833,-0.02784684,-0.06063947,-0.03724857
2015-11,0.01268164,-0.16491228,-0.03084275,-0.13472803,-0.04428268,-0.02614714,-0.01976285,-0.02524866,-0.05462699,-0.01544715,-0.01300689,-0.07600208,-0.05110132,-0.05315615,-0.04100228,-0.10533708,-0.03410853,-0.02483901,-0.11378205,-0.07110439,-0.06907895,-0.08353109,0.03636364,-0.02285092,-0.03793187
2015-10,0.07175141,0.15853659,0.07608179,0.1713518,0.05791885,0.04910472,0.08833152,0.05610561,0.06689835,0.09454983,0.0531615,0.06674082,0.04971857,0.06850962,0.05495103,0.02518519,0.10334873,0.07947686,0.06789413,0.08635864,0.10251799,0.0990364,0.11319648,0.04493088,0.06306774
2015-09,-0.00654152,-0.13304411,-0.00520095,0.00930823,0.00762599,0.01539754,-0.0204521,-0.0699462,-0.03791667,-0.02179676,0.00696151,-0.00541419,-0.01208178,-0.00844391,0.01528202,-0.10629921,0.02881152,0.01427115,-0.06847826,-0.02382213,-0.03304348,-0.11434016,0.02198455,-0.08076514,0.00366876
2015-08,-0.06608607,-0.05412371,-0.0791126,-0.22514831,-0.07389891,-0.09450385,-0.05461768,-0.11376022,-0.03260437,-0.05326269,-0.08351648,0.08290744,-0.07404326,-0.10833333,-0.07907092,-0.01730532,-0.07272727,-0.08918919,-0.06276953,0.05097614,-0.01003344,-0.04628821,-0.06172171,-0.03420523,-0.07766533
2015-07,0.02139875,-0.16919853,-0.03937947,-0.19211111,-0.06316363,-0.07354281,0.00198216,-0.08649658,-0.05904335,-0.02984673,-0.02109705,-0.16636029,-0.04902724,-0.05408063,-0.06672719,-0.12916667,-0.10409797,-0.06260434,-0.1085595,-0.18776551,-0.20026008,-0.11102574,-0.04489796,-0.03780718,-0.07093575
2015-06,-0.03918575,-0.0456778,-0.01444748,-0.08521456,-0.02547095,-0.04495114,-0.03753609,-0.01772616,-0.00738552,-0.06272219,-0.02888583,-0.05585661,-0.00922367,-0.05648148,-0.02740937,-0.0974026,-0.07608696,-0.06141732,-0.10593062,-0.04984424,-0.09122807,-0.07163121,-0.02474023,-0.00187617,-0.03847754
2015-05,-0.00632111,-0.10439321,-0.02400915,-0.14291898,-0.04685139,-0.00108483,0.03248031,-0.05214368,-0.04236383,0.01540436,-0.03504749,0.02555366,-0.03486647,-0.03599649,-0.04001694,-0.07692308,-0.02246715,0.02327448,-0.04984205,0.01341752,0.01911589,-0.0754717,0.01326531,0.00278552,-0.0330912
2015-04,0.06440406,0.1765625,0.00731332,0.16974132,0.0553624,0.07800093,0.05010438,0.07204969,0.00977552,0.00288109,0.05184929,0.0354139,0.0588697,0.04828227,0.05801664,0.02816901,0.10669856,0.04399323,0.09161491,0.0136,0.05176768,0.14113662,0.05076679,0.04023553,0.06607452
2015-03,-0.01546122,-0.05844794,0.00906583,-0.05082682,-0.01335827,-0.00070208,-0.01151832,-0.05272727,-0.02974247,-0.01673963,0.03697057,-0.1317292,-0.02773498,0.06841046,-0.01282628,-0.0802269,-0.06049661,0.01469317,-0.08122551,-0.11926606,-0.125,-0.07352434,0.02645788,-0.07234432,-0.01531162
2015-02,0.06830907,0.15759637,0.02436102,0.06867509,0.02571819,0.02008128,0.04851158,0.01726264,0.01962236,0.08193512,0.02177068,-0.03560372,0.04143426,0.07119387,0.02489053,0.05756014,0.07380254,0.06307978,0.10989011,-0.05902307,-0.05714286,0.05409304,0.04070096,0.0729064,0.01937046
2015-01,-0.00393038,-0.17661098,0.02774327,0.00813474,0.00644619,0.01906412,-0.01425439,-0.01316577,-0.01861314,0.00220507,0.05992218,0.11106365,-0.02755906,0.02290951,0.00922204,-0.07223114,-0.02650602,-0.02312673,-0.07796984,0.08853194,0.08886256,-0.09787658,-0.01401345,0.04826863,0.0063234
2014-12,-0.00328497,-0.01932139,-0.03651355,-0.07870653,-0.02297297,-0.01716634,-0.06362672,-0.077461,-0.00752149,-0.00738714,0.01376869,-0.12922002,-0.04630321,-0.01589103,-0.02623175,-0.04201681,-0.03975678,-0.02003643,-0.03654252,-0.05234851,-0.04137931,-0.05248447,-0.02902519,-0.00314465,-0.03346457
2014-11,0.02725771,-0.03383128,-0.00153846,-0.02848843,-0.00712025,-0.00473934,0.01923077,-0.00766871,-0.03870968,0.01971675,-0.01498847,-0.02736318,-0.01746725,-0.01943844,-0.00646744,-0.02312139,0.00646054,-0.03012048,-0.03988134,0.01440249,0.00982801,-0.06640182,-0.03639159,0.01149425,-0.0034188
2014-10,0.01452514,-0.05337195,0.06361426,0.09861557,0.03547252,-0.00658824,-0.03589744,0.02688728,-0.03822481,0.03399597,0.00190186,-0.2768254,-0.00145138,-0.01276596,0.02498297,-0.01205674,-0.02351375,-0.00931414,-0.0125847,-0.18127688,-0.15957447,-0.0115926,0.03094463,0.00626305,0.02516269
2014-09,-0.04245781,-0.10850757,-0.07377352,-0.21837726,-0.07620681,-0.04788979,-0.07176582,-0.12035398,-0.01496815,-0.04149715,-0.05730456,-0.16265383,-0.06123822,-0.07743786,-0.07230164,-0.11311374,-0.09196321,-0.06181534,-0.10554765,-0.201789,-0.20357751,-0.07941613,-0.06054591,-0.05073171,-0.06987856
2014-08,0.02423747,-0.04438375,0.0141527,0.06445572,0.02276708,0.02742189,-0.0009434,0.07454361,-0.00795418,0.04174894,0.03591954,-0.00127421,0.02268041,0.06192893,0.02526539,0.02671756,0.01253538,0.06688963,-0.02876902,-0.01703407,0.01612903,0.00717112,0.02879177,0.01576355,0.03182098
2014-07,-0.02944269,0.03908451,-0.00560119,0.00566595,0.00404142,-0.00717167,-0.05618964,0.02874133,0.04034392,-0.0357728,0.01760176,0.00702211,-0.02363268,-0.05428571,0.0017149,0.00128123,-0.02261008,-0.07615385,0.03258074,-0.01190476,-0.0515873,0.01649175,-0.00771208,-0.04502814,0.00020475
2014-06,0.02023745,0.01297765,0.0219484,0.06039277,0.02108826,0.00801649,0.01876676,0.02659847,-0.0635324,0.03871523,0.01008592,0.26658081,0.01031637,0.06903553,0.02029113,0.01297859,0.01887567,0.05199025,0.0278849,0.25793404,0.21356275,0.03678581,0.11853574,0.01427212,0.02976567
2014-05,0.0106354,0.05755118,0.02370605,0.08016317,0.02846402,0.0206379,0.07204611,0.05051048,0.03911735,0.04377606,0.02801228,-0.04280977,0.03876525,0.03919492,0.026806,-0.03771213,0.01038206,0.02329451,0.00572117,-0.06559264,-0.08022388,0.00262192,0.01097631,-0.00285714,0.03319502
2014-04,-0.00381679,0.02426412,-0.0163297,-0.01484544,-0.00374933,-0.00839552,-0.00478927,-0.07089366,0.01122831,-0.00416543,0.02133544,0.01950195,0.0021645,-0.04752275,-0.00068182,0.02851588,-0.04820717,-0.05428796,0.00571257,-0.02030735,-0.02954342,-0.01748971,-0.14263959,0.00763359,-0.01035822
2014-03,-0.00027375,-0.02021773,0.0509106,0.16670437,0.05759312,0.03428988,0.0199005,0.11712214,0.05154265,0.01479469,0.01089588,-0.13649168,0.04321456,0.00509684,0.05067568,0.02322495,-0.04152249,-0.01186709,0.02220167,-0.08961558,-0.12130886,0.0472973,-0.10509108,0.03152709,0.04792332
2014-02,0.08355167,0.08688457,0.08751666,0.19202155,0.06377246,0.05500128,0.0955414,0.02386238,0.05677517,0.09343017,0.11000902,0.16818458,0.02841782,0.10698198,0.06108026,0.05274115,0.15801457,0.14784946,0.09300065,0.165253,0.18522073,0.04020931,0.0780943,0.06548857,0.0505458
