Month,BBH,BIB,BIS,CURE,FBT,FXH,IBB,IHE,IHF,IHI,IXJ,IYH,PBE,PJP,PPH,PSCH,PTH,RXD,RXL,RYH,VHT,XBI,XHE,XHS,XLV,XPH
2017-03,-0.02288937,-0.0524249,0.04229607,-0.04719352,-0.0064163,-0.01343449,-0.02444155,-0.02337783,-0.02078733,-0.00079628,-0.00421771,-0.0163486,-0.03773153,-0.02760478,-0.01678791,0.00857395,-0.01178203,0.03351955,-0.03698592,-0.01031508,-0.01320741,-0.02952756,0.0090465,-0.01246585,-0.01476015,-0.00769601
2017-02,0.05160329,0.11775321,-0.11339198,0.17426545,0.08004556,0.04514409,0.05987316,0.07196315,0.03729381,0.04812985,0.04928829,0.05606566,0.0627451,0.07342908,0.05664878,0.06041357,0.06424747,-0.08467556,0.12003155,0.05140621,0.05671689,0.08074246,0.05642023,0.05126354,0.05428613,0.06563307
2017-01,0.03714943,0.05434783,-0.06534772,0.02042973,0.04300608,0.02885778,0.02900167,-0.01388889,0.03027036,0.06410546,0.01188418,0.01263128,0.03502045,-0.02186667,-0.0201763,-0.001222,0.05349276,-0.03200351,0.020079,0.01896187,0.01401643,0.08920742,0.04091554,0.04054566,0.00963391,-0.03262519
2016-12,0.00776221,-0.03271934,0.02147059,0.03922315,-0.01868049,0.00951374,-0.01488195,0.03237194,-0.01629945,0.03165939,0.02533064,0.01522103,-0.01782531,0.01793307,0.03080082,0.02988862,0.00797984,-0.03567703,0.02660487,0.01199411,0.01506623,-0.03172777,0.03332635,0.01065272,0.01462523,0.01448131
2016-11,0.04741001,0.10416128,-0.14229867,0.06539834,0.07478123,0.03384948,0.05784451,0.01888354,0.09970967,-0.01355342,0.00737595,0.02768089,0.07481363,-0.01277898,-0.00703235,0.08566249,0.0885963,-0.07812188,0.0533049,0.0174793,0.03153534,0.1025641,0.03929105,0.05285714,0.02607076,-0.0210553
2016-10,-0.10671832,-0.22126437,0.25568728,-0.1851734,-0.1276852,-0.07629924,-0.1149007,-0.09330865,-0.04287054,-0.07000696,-0.06822895,-0.06443584,-0.11347857,-0.08801189,-0.09690986,-0.09503853,-0.14408726,0.13796275,-0.12557924,-0.07002031,-0.06953253,-0.15157959,-0.0708831,-0.07449168,-0.06507937,-0.10916135
2016-09,0.01246883,0.05279166,-0.06551519,-0.01895587,0.03702548,0.0059514,0.02883173,0.00645968,0.01651408,0.01472142,0.00041494,0.00082959,0.04107188,-0.03748006,-0.0223894,0.01107162,0.10211341,-0.00478578,0.00614912,0.00189061,0.0031343,0.09916667,0.00410236,0.01145391,-0.00258881,-0.01428895
2016-08,-0.03259745,-0.09202454,0.08612903,-0.11518468,-0.06690038,-0.01398829,-0.04482511,-0.04694836,-0.03326762,-0.00901027,-0.04484394,-0.03967939,-0.05220501,-0.05910519,-0.04850238,-0.0198985,-0.02229495,0.06660185,-0.07985915,-0.02553704,-0.03757247,-0.05473817,0.02952993,-0.0542461,-0.03861536,-0.02477328
2016-07,0.10504854,0.21104781,-0.18768997,0.12841444,0.09358639,0.04022989,0.10159568,0.06589284,0.01084456,0.0562106,0.03534005,0.04487492,0.08744335,0.05682362,0.05229226,0.04322888,0.08510638,-0.08312904,0.09387182,0.05097751,0.04761149,0.11207207,0.04769945,0.02613118,0.04223926,0.08325336
2016-06,-0.07586712,-0.16937553,0.16436425,0.00642467,-0.06862439,0.00272201,-0.08426363,-0.01992004,0.00901945,0.02954493,0.00708333,0.00147596,-0.09466139,-0.02102434,-0.009299,-0.00464462,-0.01844532,-0.00866363,0.00616991,-0.00694259,0.00232093,-0.06955017,0.04895576,-0.00784929,0.0054149,-0.04998843
