Week,CHIM,COPX,CROP,CUT,DUST,FLM,FTAG,FTRI,FXZ,GDX,GDXJ,GNR,GOEX,GRES,GUNR,HAP,IGE,ITB,IYM,LIT,MOO,MXI,NUGT,PICK,PKB,PSCM,PYZ,REMX,RING,RTM,SBM,SIL,SILJ,SLVP,SLX,SMN,SOIL,URA,UYM,VAW,VEGI,WOOD,XHB,XLB,XME
2018-43,0.0760353,0.1237402,0.02142364,0.04722011,-0.09172976,0.03310989,0.03102837,0.02526132,0.08149652,0.03278689,0.00612613,0.04911546,-0.00635593,0.02664636,0.04731966,0.04453807,0.03630363,0.06830417,0.06031151,0.09317862,0.04761101,0.05983929,0.09865471,0.07664497,0.07748184,0.07926965,0.06997389,0.13222591,0.02237288,0.07319928,-0.04410307,0.02275655,0.03860523,0.01756587,0.07887909,-0.11088296,0.07327586,0.07359307,0.12124826,0.06487257,0.05590994,0.04796126,0.08667084,0.06334661,0.06565144
2018-42,0.0,-0.06099436,-0.0190508,-0.02179535,0.11992136,-0.04749035,-0.04694641,-0.02463891,-0.04494382,-0.04048583,-0.0363886,-0.04262367,-0.03392405,-0.02265132,-0.04542607,-0.04308131,-0.06014581,0.01846257,-0.04348798,-0.03114421,-0.04594378,-0.03937908,-0.13102119,-0.05222109,-0.0285604,-0.03958115,-0.05253682,-0.04158908,-0.04333765,-0.02659411,0.05268649,-0.0410069,-0.06136364,-0.03909953,-0.05161134,0.09120103,-0.08635918,-0.05868167,-0.07090023,-0.04127308,-0.05907173,-0.01418981,-0.02057489,-0.03454231,-0.07100775
2018-41,0.00063735,-0.0385566,0.00606061,-0.00797679,0.00472335,-0.00877026,-0.00895401,0.0,-0.01472951,-0.00250627,-0.00539629,-0.0108272,-0.00747757,-0.0018498,-0.00527623,-0.01151362,-0.016839,-0.04581111,-0.00750552,-0.01343635,0.00273136,-0.01719981,-0.00621504,-0.01974565,-0.04166667,-0.01202571,-0.01845611,-0.03117359,-0.00319489,-0.01282694,0.0,-0.00402253,-0.01333333,-0.00581395,-0.01424777,0.02423639,-0.01277014,-0.01954652,-0.01576458,-0.00987448,0.00530223,-0.00390215,-0.03523975,-0.00886792,-0.01504914
2018-40,-0.01628053,-0.02280446,-0.02877698,-0.07128447,-0.17398244,-0.04946741,-0.03407756,-0.03761243,-0.06762805,0.05588393,0.0515687,-0.03912591,0.03144654,-0.00444115,-0.0310241,-0.03541269,-0.05139665,-0.06475242,-0.06249357,-0.05576801,-0.0360737,-0.04528707,0.15737952,-0.02669271,-0.06443832,-0.08323788,-0.07420074,-0.05444126,0.06666667,-0.07292931,0.07394958,0.0350803,0.03274854,0.036452,-0.02370336,0.13345865,-0.0407197,-0.04715569,-0.12746287,-0.0676212,-0.04350782,-0.06595864,-0.0645597,-0.06685383,-0.0312593
2018-39,-0.02951594,-0.03551661,-0.02290805,-0.0355412,-0.02129843,-0.01874779,-0.0200154,-0.02001601,-0.02305825,0.00542005,0.00843727,-0.01329515,0.0016,-0.00184502,-0.00926203,-0.00489663,-0.00055679,-0.03648803,-0.01512537,-0.02717727,-0.00309023,-0.02494771,0.0123839,-0.02831079,-0.02135593,-0.03952933,-0.02224484,-0.0199115,0.00490196,-0.00896239,0.0170068,-0.00505051,-0.02191465,0.01108374,-0.01820696,0.01707132,-0.01123596,0.00749625,-0.02493692,-0.01743386,-0.00034095,-0.03573355,-0.02917981,-0.01485833,-0.01994135
2018-38,0.00951814,-0.01329056,0.00063412,-0.02246835,0.03823686,-0.01087147,-0.01861702,0.00080775,-0.02143878,-0.01497326,-0.01944544,-0.00020576,-0.01377119,-0.00550863,0.00210716,0.0032769,-0.0092437,-0.03162816,-0.02661483,-0.02221546,0.00294939,-0.01467754,-0.03803132,0.00285081,-0.02110818,-0.02669294,-0.0162333,-0.00824176,-0.02130584,-0.02611771,0.03391813,-0.01115242,-0.01724138,-0.01320528,0.00746965,0.0544,-0.00561798,0.03434817,-0.05176102,-0.02691558,0.00136565,-0.01838138,-0.02427805,-0.02979516,-0.01167202
2018-37,0.08610937,0.0901034,0.02628164,0.00315159,-0.07701772,0.02891523,0.02507716,0.0274771,0.01411821,0.02524698,0.02008032,0.03649947,0.03030303,0.02245509,0.02976744,0.02460162,0.01728111,-0.01047542,0.02078313,0.04818124,0.01807892,0.04323164,0.0726257,0.07827855,-0.00065253,0.0163964,0.01724138,0.0928019,0.02118644,0.02202441,-0.01893287,0.02478992,0.00462428,0.03217822,0.04546554,-0.04063116,0.0093985,0.02873105,0.03949265,0.0165725,0.0303559,-0.01081433,-0.00226529,0.02061329,0.02126403
2018-36,-0.00250627,0.0268083,0.00552666,0.01148692,-0.06259542,0.02163153,0.0074539,0.02037351,0.00819672,0.02111872,0.01329282,0.02124398,0.0234375,0.00871212,0.02294455,0.01022437,0.02060035,0.01098312,0.00121053,0.03173554,0.00940689,0.01611137,0.05724508,0.02750696,0.00453809,0.01838911,0.01232756,0.01735488,0.02583026,0.01828925,0.00574713,0.01303215,0.02545455,0.01020408,0.02702703,-0.00782779,0.01550388,0.02791461,-0.00567025,0.00592885,0.01022207,0.00196309,0.00150188,0.00601995,0.01729894
2018-35,-0.04259043,-0.01731816,-0.02892172,0.0,0.02522775,-0.00534267,-0.01593471,-0.01346801,-0.00264487,-0.00780814,-0.01037037,-0.01510574,-0.01909438,-0.00339495,-0.01661963,-0.01157865,-0.0212766,-0.01488966,-0.00171147,-0.0220136,-0.00826052,-0.01049383,-0.02982601,-0.01504274,-0.00582713,-0.00055157,-0.00014699,-0.03979534,-0.00289226,0.00291985,0.00811124,-0.00893617,-0.00591716,0.0,0.00298063,0.01137255,-0.02571429,-0.02570281,-0.00988659,0.00098987,-0.00599225,0.00407466,-0.00376979,0.00207075,-0.00242131
2018-34,0.01902497,-0.0361949,-0.01180491,-0.00752587,0.12081679,-0.00361598,-0.00418251,-0.00740741,-0.01386278,-0.03806048,-0.04079498,-0.012834,-0.03890854,-0.00335821,-0.00859159,-0.01297626,-0.01319854,-0.01779639,-0.00889592,-0.01230284,0.00062952,-0.01348719,-0.10894418,-0.02030789,-0.01152738,-0.00668232,-0.01664275,-0.0374933,-0.03693754,-0.00887082,-0.0405781,-0.04055118,-0.04432432,-0.04022989,-0.02214892,0.02486751,0.0047259,0.00158228,-0.02326229,-0.01032162,-0.00623269,-0.00297581,-0.01514775,-0.01118265,-0.00856215
