Month,BDCL,BDCS,CHIX,EUFN,FAS,FAZ,FINU,FINZ,FXO,IAI,IAK,IAT,IXG,IYF,IYG,KBE,KBWB,KBWD,KBWP,KBWR,KCE,KIE,KRE,PFI,PHDG,PSCF,PSP,QABA,RWW,RYF,SEF,SKF,UYG,VFH,VQT,XLF
2017-09,0.05873379,0.0288671,-0.0215783,0.03469292,0.09503968,-0.09296482,0.12861999,-0.11774325,0.02442478,0.06383384,0.0278009,0.07037643,0.03229434,0.03419532,0.05376441,0.07764128,0.06087697,0.03183154,0.01570681,0.08976186,0.05620075,0.01982609,0.08572552,0.033855,0.01303832,0.06551869,0.04110813,0.0920102,0.03896104,0.05032765,-0.03035081,-0.06518345,0.0665898,0.05020713,0.01063615,0.04837364
2017-08,-0.10537334,-0.05013055,0.02134338,-0.03224342,-0.04737443,0.04082955,-0.07352752,0.06575576,-0.01948504,-0.02739981,-0.04154682,-0.04652731,-0.02297404,-0.01672897,-0.02302107,-0.04512166,-0.03697583,-0.03942993,-0.04235537,-0.05154639,-0.03032141,-0.03788133,-0.05155221,-0.01791889,0.00517516,-0.04375882,-0.02532751,-0.05224787,-0.0248366,-0.03282443,0.01512137,0.03481393,-0.03637381,-0.02735513,0.00203252,-0.02248569
2017-07,-0.00486787,-0.00104603,0.07412491,0.04351985,0.02627912,-0.030191,0.00921174,0.00332226,0.01744393,0.01367002,0.01464844,-0.01119069,0.02389855,0.00653781,0.00340349,-0.02416918,-0.01071281,-0.00285578,0.01614885,-0.03931527,0.02728598,0.02662517,-0.02834008,0.01376881,0.02189781,-0.00020202,0.02885482,-0.0285318,0.00794307,0.00930714,-0.00628684,-0.01130164,0.01090075,0.00245178,0.01588398,0.00247627
2017-06,0.01640514,0.00843882,-0.00551724,0.02028699,0.10606405,-0.10224839,0.16706635,-0.15147453,0.02964061,0.05831974,0.01632172,0.04144955,0.0393028,0.03636364,0.0554014,0.04640199,0.06362625,0.02413793,0.00735162,0.04495284,0.04895259,0.01024735,0.04534747,0.0492862,-0.00647249,0.03418985,0.00362319,0.04108723,0.04941094,0.04714912,-0.0391791,-0.07434813,0.07217145,0.04845432,0.00228421,0.05198238
2017-05,-0.10488599,-0.05148915,0.04668125,0.02345742,-0.03038549,0.02232855,-0.06264465,0.0621547,-0.01294858,-0.02343434,0.00547851,-0.03725127,-0.00530368,-0.01299088,-0.02317881,-0.04197829,-0.03376171,-0.03929085,0.00510297,-0.0587216,-0.01642619,0.00071531,-0.05172414,-0.04267284,0.01848049,-0.04642047,0.02351834,-0.06048387,-0.01641061,-0.00879604,0.01194922,0.02437301,-0.02725564,-0.02170917,0.00468564,-0.01838879
2017-04,0.02526596,0.01581633,0.0,0.05920695,-0.00114837,-0.008822,-0.03053901,-0.00269179,0.00937734,-0.00283745,0.0079571,-0.00466092,0.00990271,-0.00039868,-0.0038881,-0.00242424,-0.0061229,0.02828784,0.00825385,-0.00078018,0.01188341,0.01121157,-0.00076584,0.0,0.00411862,0.02666667,0.05677291,0.00885502,-0.00245399,0.00082965,-0.00148478,-0.00279232,-0.00347442,-0.00242005,0.00344512,-0.00656743
2017-03,0.02237288,0.00924974,0.00295639,0.03732591,-0.12369896,0.12764706,-0.15567416,0.15907274,-0.04042934,-0.0421884,-0.03029799,-0.08439626,-0.01815098,-0.04192073,-0.05494996,-0.07448707,-0.07090762,0.00747012,-0.02816153,-0.07970886,-0.03290323,-0.02797203,-0.07717886,-0.054375,-0.01376518,-0.05161545,0.00697906,-0.06422193,-0.05129902,-0.04795597,0.04152115,0.08644326,-0.08517986,-0.05265732,-0.01677899,-0.05649485
2017-02,0.07885041,0.03363588,0.0686901,-0.03514552,0.15883944,-0.14650284,0.15578447,-0.14025157,0.04606014,0.00740444,0.03699789,0.03947969,0.02360248,0.04969895,0.05104207,0.03747017,0.05189094,0.02777778,0.03950571,0.03158691,0.03307657,0.04684015,0.03927095,0.03634545,0.04052901,0.03682896,0.0,0.02561024,0.04959857,0.04870495,-0.04953001,-0.09553719,0.10227648,0.04751885,0.03107345,0.05127062
2017-01,0.00370645,0.00270856,0.03292181,0.01805869,-0.01111648,0.0028626,-0.00222434,-0.00310752,0.00190549,0.03385254,-0.00070311,0.00504819,0.00952381,-0.00284437,-0.00481047,-0.00523062,-0.01197474,0.01043841,-0.00112444,-0.01224263,0.01198433,0.00186428,-0.00299121,-0.00199336,0.00686401,-0.01686649,0.03567681,-0.02068696,-0.00035714,-0.00196795,0.00218341,0.00333111,-0.00749918,-0.00593161,0.00597624,-0.0084108
2016-12,0.06270096,0.02970852,-0.07054264,0.05018138,0.08589122,-0.09163851,0.05749661,-0.08020478,0.02878549,0.0031506,0.02287464,0.03817705,0.0248227,0.03178794,0.02658671,0.03999006,0.0321558,0.00479744,0.04986258,0.04561335,-0.002094,0.02884615,0.04330018,0.0413338,0.02021978,0.06075676,0.02040816,0.05346494,0.01770073,0.01670026,-0.03040895,-0.06292204,0.06223629,0.0261544,0.01932403,0.01962574
