Week,BDCL,BDCS,CHIX,EUFN,FAS,FAZ,FINU,FINZ,FXO,IAI,IAK,IAT,IXG,IYF,IYG,KBE,KBWB,KBWD,KBWP,KBWR,KCE,KIE,KRE,PFI,PHDG,PSCF,PSP,QABA,RWW,RYF,SEF,SKF,UYG,VFH,VQT,XLF
2018-50,-0.07404022,-0.03814554,-0.03404539,-0.02186761,-0.13036909,0.13831361,-0.1302485,0.1394052,-0.04375,-0.04118705,-0.02149401,-0.0581854,-0.03629669,-0.04238957,-0.05480301,-0.05855975,-0.0556545,-0.04412519,-0.02878333,-0.06024358,-0.04695032,-0.02558635,-0.05874948,-0.03225806,-0.02137233,-0.04580777,-0.0249004,-0.05416477,-0.04047453,-0.04467733,0.04462151,0.0907955,-0.08554217,-0.04601382,-0.0196858,-0.0446692
2018-49,-0.03899269,-0.01653804,0.00990099,0.00469484,-0.05474947,0.05693069,-0.06222707,0.08125,-0.02150917,-0.01948504,-0.01291545,-0.04350877,-0.00893317,-0.01888497,-0.02347017,-0.03847121,-0.03457106,-0.01557936,-0.02318339,-0.0395937,-0.01985011,-0.0148686,-0.04368642,-0.02037408,-0.0091878,-0.0241386,-0.00675676,-0.03320953,-0.02196317,-0.02501996,0.02069536,0.04312668,-0.03988842,-0.02153344,-0.00633666,-0.02083333
2018-48,-0.05362538,-0.02197213,-0.06439628,-0.0625,-0.16916823,0.18273092,-0.21267341,0.23544974,-0.05291005,-0.05664702,-0.05295447,-0.07021277,-0.06569343,-0.05748483,-0.0733115,-0.07330441,-0.08133512,-0.03030303,-0.03749587,-0.06400459,-0.06468597,-0.05496282,-0.07068872,-0.06244204,-0.01829268,-0.04239956,-0.05755396,-0.06539235,-0.06741573,-0.07001708,0.05887561,0.11981567,-0.11348206,-0.07126849,0.0,-0.07454342
2018-47,0.00623053,0.0027027,0.01356589,-0.01252041,0.06260633,-0.06416132,0.04948763,-0.06280788,0.01725888,0.0046304,0.00634146,0.01074345,0.00887813,0.02009528,0.01954345,0.01576629,0.01361868,0.00992908,0.01575331,0.01952445,0.00303433,0.01149048,0.01398344,0.01676154,0.01880531,0.0258637,-0.00273723,0.01487974,0.01572822,0.01386139,-0.02111159,-0.04213075,0.0399079,0.0149322,0.01978451,0.01677469
2018-46,-0.01757066,-0.00378174,-0.01491569,-0.02136986,-0.06987992,0.07156134,-0.08640175,0.08101266,-0.01424212,-0.02108037,-0.00667209,-0.0199528,-0.02126631,-0.02341396,-0.02511196,-0.01629423,-0.02368012,-0.00804543,-0.00821321,-0.00543162,-0.00306866,-0.01379763,-0.017324,-0.00793147,-0.02217375,-0.00244499,0.0055607,-0.01041879,-0.02146662,-0.0183259,0.02121212,0.04392387,-0.04670538,-0.02456406,-0.02222222,-0.02907855
2018-45,-0.00991609,-0.00749866,0.04915825,0.00549149,0.0147816,-0.01769088,0.02119222,-0.00890585,-0.00100874,0.01392111,-0.00885241,0.00929931,0.01053143,0.0058651,0.00800192,0.00465875,0.00704501,0.00190114,-0.0087821,0.00077444,0.00745983,-0.00360538,0.00387812,-0.00375469,-0.00072648,0.00582378,0.00274474,0.00800328,0.00281822,0.00074184,-0.00606061,-0.01268912,0.01062753,0.00670936,0.00192798,0.00799087
2018-44,0.02043906,0.01124197,-0.02545692,0.00538793,0.04358553,-0.04583723,0.04775687,-0.04081633,0.01376763,0.01076496,0.02101859,0.01498046,0.00976625,0.01534483,0.01373125,0.008115,0.01130384,0.01709402,0.02385719,0.01269283,0.01588821,0.02070325,0.00976239,0.01264622,0.00618857,0.01655251,-0.00444444,0.00779487,0.01289821,0.01554788,-0.01731602,-0.0346849,0.03131313,0.01227645,-0.01091355,0.01207547
2018-43,0.05165456,0.02548476,0.07157748,0.04350251,0.08607923,-0.08291874,0.10837989,-0.11336898,0.02715877,0.05223237,0.0327674,0.03338597,0.0407855,0.02716758,0.03769365,0.04018397,0.03479853,0.01988361,0.01091591,0.03109855,0.04353933,0.02357362,0.03285578,0.02321779,0.00508351,0.01751654,0.05233645,0.02938068,0.03103054,0.03698914,-0.02745424,-0.0509468,0.05570726,0.033772,0.00024531,0.03533148
2018-42,-0.04202335,-0.02230686,-0.0290813,-0.03104575,-0.0814433,0.07407407,-0.09958879,0.0990676,-0.02348536,-0.03213927,-0.03952505,-0.01582278,-0.03443235,-0.02501101,-0.02910032,-0.02498799,-0.02297461,-0.00730282,-0.03550689,-0.01965552,-0.03062404,-0.03,-0.02098436,-0.03475513,-0.0018018,-0.01189316,-0.03647687,-0.01941338,-0.03974034,-0.03417085,0.02328535,0.04666356,-0.04961932,-0.02948937,-0.00390959,-0.03215808
2018-41,-0.015163,-0.00802998,-0.00067889,-0.01383715,0.04120362,-0.04573439,0.02838726,-0.03151515,0.00641026,0.01882986,0.00957171,-0.00218914,0.00532602,0.01290039,0.00823868,-0.02012809,-0.00254304,-0.00289575,0.01925025,-0.02997327,-0.00340909,0.01267512,-0.02663787,0.01454775,-0.00143627,0.00019164,-0.00970874,-0.02821693,0.0114438,0.01144279,-0.01149425,-0.02536402,0.02604845,0.0082784,-0.00621875,0.01384083
