,Week,risk_free
169,2016-10,0.0003673076923076923
170,2016-09,0.00035
171,2016-08,0.0003365384615384616
172,2016-07,0.0003423076923076923
173,2016-06,0.00032884615384615385
174,2016-05,0.00036346153846153847
175,2016-04,0.0003846153846153846
176,2016-03,0.00039230769230769234
177,2016-02,0.0004038461538461539
178,2016-01,0.00042115384615384617
179,2016-00,0.0004403846153846154
180,2015-51,0.0004307692307692308
181,2015-50,0.00043269230769230765
182,2015-49,0.00042500000000000003
183,2015-48,0.00042884615384615384
184,2015-47,0.0004307692307692308
185,2015-46,0.0004346153846153846
186,2015-45,0.0004461538461538461
187,2015-44,0.0004346153846153846
188,2015-43,0.00040576923076923076
189,2015-42,0.00039615384615384615
190,2015-41,0.00039038461538461536
191,2015-40,0.0004019230769230769
192,2015-39,0.0003942307692307692
193,2015-38,0.0004153846153846154
194,2015-37,0.00042692307692307696
195,2015-36,0.00042500000000000003
196,2015-35,0.00041923076923076923
197,2015-34,0.0004115384615384615
198,2015-33,0.0004076923076923077
199,2015-32,0.00041923076923076923
200,2015-31,0.00042692307692307696
201,2015-30,0.00043269230769230765
202,2015-29,0.0004461538461538461
203,2015-28,0.0004576923076923077
204,2015-27,0.0004442307692307692
205,2015-26,0.0004576923076923077
206,2015-25,0.00046346153846153846
207,2015-24,0.0004461538461538461
208,2015-23,0.0004653846153846154
209,2015-22,0.0004442307692307692
210,2015-21,0.0004096153846153846
211,2015-20,0.00042884615384615384
212,2015-19,0.0004307692307692308
213,2015-18,0.00042115384615384617
214,2015-17,0.00039038461538461536
215,2015-16,0.0003730769230769231
216,2015-15,0.0003653846153846154
217,2015-14,0.0003711538461538462
218,2015-13,0.0003673076923076923
219,2015-12,0.0003730769230769231
220,2015-11,0.0003846153846153846
221,2015-10,0.0004115384615384615
222,2015-09,0.0004096153846153846
223,2015-08,0.00038653846153846155
224,2015-07,0.00040576923076923076
225,2015-06,0.0003846153846153846
226,2015-05,0.0003480769230769231
227,2015-04,0.0003403846153846154
228,2015-03,0.00035576923076923074
229,2015-02,0.00035769230769230767
230,2015-01,0.0003846153846153846
231,2015-00,0.00041923076923076923
232,2014-51,0.0004307692307692308
233,2014-50,0.0004115384615384615
234,2014-49,0.00042115384615384617
235,2014-48,0.00043653846153846157
236,2014-47,0.00043269230769230765
237,2014-46,0.0004480769230769231
238,2014-45,0.00045384615384615385
239,2014-44,0.00045384615384615385
240,2014-43,0.0004461538461538461
241,2014-42,0.00043269230769230765
242,2014-41,0.00042115384615384617
243,2014-40,0.00045384615384615385
244,2014-39,0.000475
245,2014-38,0.0004903846153846154
246,2014-37,0.000501923076923077
247,2014-36,0.0004884615384615384
248,2014-35,0.00046923076923076926
249,2014-34,0.00045576923076923073
250,2014-33,0.00046346153846153846
251,2014-32,0.00046346153846153846
252,2014-31,0.000475
253,2014-30,0.00048653846153846154
254,2014-29,0.0004788461538461538
255,2014-28,0.00048653846153846154
256,2014-27,0.0004942307692307693
257,2014-26,0.0005
258,2014-25,0.0004942307692307693
259,2014-24,0.0005057692307692308
260,2014-23,0.0005038461538461539
261,2014-22,0.000498076923076923
262,2014-21,0.000475
263,2014-20,0.0004884615384615384
264,2014-19,0.0004942307692307693
265,2014-18,0.0005038461538461539
266,2014-17,0.0005115384615384615
267,2014-16,0.0005211538461538461
268,2014-15,0.0005134615384615385
269,2014-14,0.0005153846153846154
270,2014-13,0.0005326923076923077
271,2014-12,0.0005230769230769231
272,2014-11,0.000526923076923077
273,2014-10,0.0005230769230769231
274,2014-09,0.0005211538461538461
275,2014-08,0.0005173076923076923
276,2014-07,0.0005250000000000001
277,2014-06,0.0005288461538461538
278,2014-05,0.0005153846153846154
279,2014-04,0.0005250000000000001
280,2014-03,0.0005423076923076923
281,2014-02,0.00055
282,2014-01,0.0005692307692307692
283,2014-00,0.0005788461538461539
284,2013-51,0.000575
285,2013-50,0.0005557692307692308
286,2013-49,0.00055
287,2013-48,0.0005461538461538462
288,2013-47,0.000526923076923077
289,2013-46,0.000526923076923077
290,2013-45,0.000526923076923077
291,2013-44,0.0005153846153846154
292,2013-43,0.0004942307692307693
293,2013-42,0.0004903846153846154
294,2013-41,0.0005115384615384615
295,2013-40,0.0005153846153846154
296,2013-39,0.0005076923076923077
297,2013-38,0.0005115384615384615
298,2013-37,0.0005365384615384616
299,2013-36,0.0005615384615384615
300,2013-35,0.0005615384615384615
301,2013-34,0.0005307692307692307
302,2013-33,0.00055
303,2013-32,0.0005250000000000001
304,2013-31,0.0005038461538461539
305,2013-30,0.0005076923076923077
306,2013-29,0.0004942307692307693
307,2013-28,0.0004884615384615384
308,2013-27,0.0005076923076923077
309,2013-26,0.0004923076923076923
310,2013-25,0.0004903846153846154
311,2013-24,0.0004480769230769231
312,2013-23,0.00042307692307692304
313,2013-22,0.0004076923076923077
314,2013-21,0.0004115384615384615
315,2013-20,0.00038269230769230774
316,2013-19,0.0003711538461538462
317,2013-18,0.00035192307692307693
318,2013-17,0.00032692307692307697
319,2013-16,0.00033269230769230766
320,2013-15,0.00033269230769230766
321,2013-14,0.0003442307692307692
322,2013-13,0.0003480769230769231
323,2013-12,0.0003653846153846154
324,2013-11,0.0003730769230769231
325,2013-10,0.00039230769230769234
326,2013-09,0.0003769230769230769
327,2013-08,0.00036153846153846154
328,2013-07,0.0003846153846153846
329,2013-06,0.00038653846153846155
330,2013-05,0.0003846153846153846
331,2013-04,0.0003884615384615384
332,2013-03,0.0003653846153846154
333,2013-02,0.00035961538461538466
334,2013-01,0.0003653846153846154
335,2013-00,0.0003653846153846154
